Frame,Centre,nose,left eye(inner),left eye,left eye(outer),right eye(inner),right eye,right eye(outer),left ear,right ear,mouth(left),mouth(right),left shoulder,right shoulder,left elbow,right elbow,left wrist,right wrist,left pinky,right pinky,left index,right index,left thumb,right thumb,left hip,right hip,left knee,right knee,left ankle,right ankle,left heel,right heel,left foot index,right foot index
6.0,0.7524329622586569/0.4446489049328698/0.04123245648763798,0.7760838270187378/0.24861063063144684/-0.0908358246088028,0.772331953048706/0.23904135823249817/-0.0809081420302391,0.7715689539909363/0.23837758600711823/-0.08093352615833282,0.7707042098045349/0.23753871023654938/-0.08093512058258057,0.771476686000824/0.23922353982925415/-0.11235999315977097,0.7701544761657715/0.23878136277198792/-0.11239693313837051,0.7687527537345886/0.2382955700159073/-0.1124701201915741,0.7598450183868408/0.23828929662704468/-0.02354291081428528,0.7584840655326843/0.24132274091243744/-0.16423769295215607,0.7726451754570007/0.25655537843704224/-0.06557509303092957,0.7713690996170044/0.2567935585975647/-0.10632026195526123,0.7423614859580994/0.28916728496551514/0.0775495320558548,0.7452104091644287/0.3062496781349182/-0.22797781229019165,0.7428648471832275/0.3495904505252838/0.1673552542924881,0.7611528038978577/0.38031241297721863/-0.24040167033672333,0.7557521462440491/0.3770849406719208/0.1833508163690567,0.7767865061759949/0.43737998604774475/-0.15796266496181488,0.757205605506897/0.3843272626399994/0.1893947422504425,0.779434323310852/0.4579399824142456/-0.17797638475894928,0.7594961524009705/0.3796510100364685/0.17197303473949432,0.7823169827461243/0.4537563920021057/-0.1746821254491806,0.7601865530014038/0.3787606954574585/0.17416048049926758,0.7804275751113892/0.4460197985172272/-0.15427695214748383,0.74204421043396/0.4519067406654358/0.09783252328634262,0.7416571974754333/0.4640117585659027/-0.09790820628404617,0.7333807349205017/0.5592030882835388/0.22540107369422913,0.7334389090538025/0.5755655765533447/0.01908247172832489,0.723057746887207/0.6567939519882202/0.3571494221687317,0.7247697710990906/0.6772377490997314/0.15367765724658966,0.714676022529602/0.6767018437385559/0.36800187826156616,0.717108964920044/0.697888195514679/0.16448543965816498,0.7498121857643127/0.6703698635101318/0.33840662240982056,0.7541216611862183/0.6940301656723022/0.10715297609567642
7.0,0.7532853572456925/0.44321102179862837/0.0390425308228091,0.7760761380195618/0.24784022569656372/-0.08081648498773575,0.7722343802452087/0.23802009224891663/-0.07136745750904083,0.7714698314666748/0.23738017678260803/-0.0714053064584732,0.7705878019332886/0.23654599487781525/-0.07141132652759552,0.7713482975959778/0.23831139504909515/-0.10182864964008331,0.770013153553009/0.23798108100891113/-0.10186535865068436,0.7685685753822327/0.23757046461105347/-0.10196517407894135,0.7597052454948425/0.238270103931427/-0.018028799444437027,0.7579383254051208/0.24117423593997955/-0.15360787510871887,0.772645115852356/0.2564114034175873/-0.05714407190680504,0.7713602781295776/0.2567436397075653/-0.09637699276208878,0.7442696690559387/0.29088813066482544/0.07854856550693512,0.7451554536819458/0.3060404062271118/-0.21460044384002686,0.7462621331214905/0.34836655855178833/0.16951300203800201,0.7632465958595276/0.38003918528556824/-0.22936932742595673,0.7613399624824524/0.37014859914779663/0.2067241072654724,0.7796220779418945/0.44084134697914124/-0.1604710817337036,0.7622738480567932/0.3755764365196228/0.21798938512802124,0.7831372022628784/0.46011143922805786/-0.18048588931560516,0.765191376209259/0.369882732629776/0.2014945149421692,0.7876697182655334/0.45679616928100586/-0.17765825986862183,0.7666028738021851/0.36917537450790405/0.19906704127788544,0.785539448261261/0.44958072900772095/-0.15728673338890076,0.7427173256874084/0.4522314667701721/0.0910375714302063,0.7414529323577881/0.46354326605796814/-0.09111043065786362,0.7333558797836304/0.5592541098594666/0.1968579739332199,0.7332829833030701/0.5745105743408203/0.007522606290876865,0.722460925579071/0.6553024053573608/0.31728848814964294,0.7239709496498108/0.6772556304931641/0.134226992726326,0.7082048654556274/0.6634730100631714/0.3264961838722229,0.7138887047767639/0.6978131532669067/0.14386652410030365,0.740007221698761/0.6713980436325073/0.29293134808540344,0.751327395439148/0.6940292119979858/0.08754041790962219
8.0,0.7536117059213144/0.44390492472383714/0.03455211266150905,0.775168776512146/0.24759912490844727/-0.06954396516084671,0.7713109850883484/0.23740167915821075/-0.06010367348790169,0.7706574201583862/0.23675985634326935/-0.06014741584658623,0.7698787450790405/0.23591668903827667/-0.06015881523489952,0.7700040936470032/0.23780891299247742/-0.09014846384525299,0.7684768438339233/0.23754912614822388/-0.09018091857433319,0.7668072581291199/0.23718222975730896/-0.09028109908103943,0.7593297958374023/0.23826976120471954/-0.008276490494608879,0.7559930682182312/0.24111980199813843/-0.1417393833398819,0.7719082236289978/0.2564069926738739/-0.046491678804159164,0.7701669931411743/0.25677379965782166/-0.08512299507856369,0.7451263070106506/0.2922991216182709/0.08331511169672012,0.7441152930259705/0.3059385120868683/-0.20113736391067505,0.7482484579086304/0.3487786054611206/0.17000630497932434,0.7636391520500183/0.3799790143966675/-0.21558131277561188,0.762603759765625/0.3704560399055481/0.20139925181865692,0.7818658947944641/0.4426192045211792/-0.15579165518283844,0.763218343257904/0.37582090497016907/0.21102306246757507,0.7856707572937012/0.461321622133255/-0.17488639056682587,0.7660127282142639/0.3710722029209137/0.1948700249195099,0.7905566692352295/0.45787760615348816/-0.17205509543418884,0.7674981951713562/0.37053292989730835/0.19363749027252197,0.7884583473205566/0.45130789279937744/-0.15264196693897247,0.743687093257904/0.45256540179252625/0.08446997404098511,0.7413680553436279/0.46326005458831787/-0.08451893925666809,0.7332037091255188/0.5602491497993469/0.17177732288837433,0.7326943278312683/0.5741811990737915/-0.0014978882391005754,0.7225273847579956/0.6568191051483154/0.28001344203948975,0.7233964204788208/0.6772109270095825/0.11566843837499619,0.7083674669265747/0.6659253239631653/0.2879117727279663,0.7126148343086243/0.6977900266647339/0.12449970841407776,0.7391650676727295/0.6753038167953491/0.2532849907875061,0.7509109377861023/0.6939548254013062/0.07031527161598206
9.0,0.7534839157704953/0.4434731525403482/0.04340052248530642,0.7750149965286255/0.24686002731323242/-0.07134976983070374,0.7710086107254028/0.23654110729694366/-0.061761438846588135,0.7703074812889099/0.23588895797729492/-0.06179892644286156,0.7694532871246338/0.23503775894641876/-0.06181180477142334,0.7697043418884277/0.23705027997493744/-0.09173442423343658,0.768152117729187/0.23684878647327423/-0.09176208823919296,0.7664566040039062/0.23651380836963654/-0.09185674786567688,0.7585628032684326/0.2381351739168167/-0.008887803182005882,0.7556416988372803/0.24088157713413239/-0.1419941931962967,0.7717368006706238/0.2563062906265259/-0.047814320772886276,0.7699448466300964/0.25675395131111145/-0.08638150990009308,0.7450165748596191/0.29251283407211304/0.08438830077648163,0.7432920932769775/0.30515962839126587/-0.20128527283668518,0.7477769255638123/0.3488406836986542/0.1843159943819046,0.7632121443748474/0.3801190257072449/-0.21966585516929626,0.7626780867576599/0.36822202801704407/0.23533017933368683,0.7820316553115845/0.4439734220504761/-0.16618406772613525,0.7633697390556335/0.3723808825016022/0.2488962709903717,0.786091148853302/0.46222713589668274/-0.18693643808364868,0.7665013074874878/0.3662257790565491/0.2324208766222,0.7907746434211731/0.4592594504356384/-0.18293093144893646,0.7681350111961365/0.36578643321990967/0.22826118767261505,0.7885795831680298/0.45262205600738525/-0.1628720611333847,0.7436624765396118/0.45278623700141907/0.08435653150081635,0.7415381073951721/0.46312886476516724/-0.08441762626171112,0.7323566675186157/0.5606085658073425/0.1866529881954193,0.7323962450027466/0.5741380453109741/0.003181273816153407,0.7223522067070007/0.6563471555709839/0.30795249342918396,0.7233511805534363/0.6773905158042908/0.12651638686656952,0.7089316844940186/0.6663150787353516/0.31743401288986206,0.712684690952301/0.6978224515914917/0.13590456545352936,0.7373654246330261/0.6750727891921997/0.2848837077617645,0.7510669827461243/0.6938990354537964/0.07203918695449829
10.0,0.7538210771701954/0.44603556560145485/0.04580640920472366,0.7750257849693298/0.24674773216247559/-0.07238200306892395,0.7710229158401489/0.23630128800868988/-0.06263219565153122,0.7703185677528381/0.23566074669361115/-0.06267021596431732,0.7694632411003113/0.2348170280456543/-0.06268934905529022,0.7697378993034363/0.23686054348945618/-0.09272658079862595,0.7681978940963745/0.2366885542869568/-0.0927443727850914,0.7665197253227234/0.2363678365945816/-0.09283656626939774,0.7585720419883728/0.23811028897762299/-0.009360560216009617,0.7557329535484314/0.24081474542617798/-0.14318212866783142,0.7717484831809998/0.2563081979751587/-0.04853308945894241,0.7699673175811768/0.2568363845348358/-0.08728467673063278,0.7439814805984497/0.29259777069091797/0.08561363816261292,0.7433328628540039/0.3051088750362396/-0.20208199322223663,0.7461546659469604/0.35709407925605774/0.19169867038726807,0.7621009349822998/0.3812662363052368/-0.22321344912052155,0.7637629508972168/0.3801717162132263/0.24203456938266754,0.7828514575958252/0.4449481964111328/-0.1824140101671219,0.7656651735305786/0.3844577670097351/0.256458580493927,0.7873718738555908/0.46380937099456787/-0.20525848865509033,0.7698161602020264/0.3788394033908844/0.2383292019367218,0.7921180725097656/0.4610346853733063/-0.20032420754432678,0.7707294225692749/0.3781870901584625/0.234486386179924,0.7893983721733093/0.45336011052131653/-0.1789923459291458,0.743084192276001/0.4529963433742523/0.08472846448421478,0.7420400977134705/0.46315908432006836/-0.08480572700500488,0.7317729592323303/0.5614700317382812/0.19354036450386047,0.7322084903717041/0.57414710521698/0.007327405735850334,0.7221022248268127/0.6565442681312561/0.3189411163330078,0.7233568429946899/0.6776122450828552/0.1416046917438507,0.7090613842010498/0.6692790985107422/0.3286857008934021,0.7128363847732544/0.6979906558990479/0.15299092233181,0.7372165322303772/0.6761759519577026/0.29665902256965637,0.7511599659919739/0.6938928365707397/0.10150699317455292
11.0,0.752935751720711/0.45005683987228956/0.04888741271915259,0.7750362157821655/0.24600441753864288/-0.07460112869739532,0.7709965109825134/0.23569022119045258/-0.0647975355386734,0.7702599763870239/0.2350638210773468/-0.06483020633459091,0.7693639993667603/0.23422615230083466/-0.06484376639127731,0.769762396812439/0.23625372350215912/-0.0952271819114685,0.7682064771652222/0.23609699308872223/-0.09525208920240402,0.7665761709213257/0.23576845228672028/-0.09534009546041489,0.7583204507827759/0.23777583241462708/-0.010042108595371246,0.7557802200317383/0.240355983376503/-0.14570416510105133,0.7717422842979431/0.25579720735549927/-0.05042532831430435,0.7699825167655945/0.2564457058906555/-0.08965708315372467,0.7394130229949951/0.2925752103328705/0.08298885822296143,0.7434636950492859/0.3048888146877289/-0.20607033371925354,0.7428527474403381/0.36542809009552/0.18774573504924774,0.7609080672264099/0.3849567472934723/-0.2368188202381134,0.7618350982666016/0.3982633054256439/0.22390542924404144,0.7826851606369019/0.4483729898929596/-0.21774129569530487,0.7633720636367798/0.4050372838973999/0.2354629635810852,0.7870146632194519/0.4674275815486908/-0.24636410176753998,0.7689363360404968/0.39979636669158936/0.21762551367282867,0.7917412519454956/0.46500712633132935/-0.23882515728473663,0.7699548602104187/0.39827796816825867/0.21587809920310974,0.7890868782997131/0.4582884609699249/-0.2141595333814621,0.7409637570381165/0.45387691259384155/0.08534955978393555,0.7426405549049377/0.4637306332588196/-0.0854441225528717,0.7310239672660828/0.5627248883247375/0.21572460234165192,0.732134997844696/0.5746270418167114/0.03065280243754387,0.7203816175460815/0.6555694341659546/0.3692702651023865,0.7232311367988586/0.6782504916191101/0.18713821470737457,0.7066648006439209/0.6696480512619019/0.3823370933532715,0.7126226425170898/0.6984253525733948/0.20041465759277344,0.7366751432418823/0.6760509610176086/0.3530749976634979,0.750801146030426/0.6939318180084229/0.14824452996253967
12.0,0.7527015606562296/0.4506680855044612/0.05126035182426373,0.7749041318893433/0.2460542470216751/-0.07746018469333649,0.7707992196083069/0.23579564690589905/-0.06802991777658463,0.7699953317642212/0.23517002165317535/-0.06807737797498703,0.7690263390541077/0.2343338429927826/-0.06809882819652557,0.7697508335113525/0.23637574911117554/-0.09748967736959457,0.7682404518127441/0.2362240105867386/-0.09748809039592743,0.7666085362434387/0.2358943521976471/-0.09758103638887405,0.7577680945396423/0.2378416359424591/-0.015119318850338459,0.7558398842811584/0.24042560160160065/-0.1463763266801834,0.7713719010353088/0.25581085681915283/-0.05346407741308212,0.7699302434921265/0.2564736306667328/-0.09155476838350296,0.7365631461143494/0.2922675907611847/0.07804162800312042,0.7448238134384155/0.3049321174621582/-0.2075042724609375,0.7414127588272095/0.3671514391899109/0.18037116527557373,0.7608156800270081/0.38667312264442444/-0.23749864101409912,0.762267529964447/0.39733612537384033/0.21985122561454773,0.7826794981956482/0.45232152938842773/-0.21116262674331665,0.7642357349395752/0.402444988489151/0.22886890172958374,0.7869157791137695/0.47095730900764465/-0.23869936168193817,0.7697484493255615/0.3973970413208008/0.21248526871204376,0.7916324734687805/0.4692147374153137/-0.23161616921424866,0.7706573009490967/0.3967379629611969/0.21168309450149536,0.7890419960021973/0.46294623613357544/-0.20770826935768127,0.7391586303710938/0.4548177123069763/0.0853855162858963,0.7429897785186768/0.4644932150840759/-0.08550535887479782,0.7308325171470642/0.5631812810897827/0.22272269427776337,0.7321398258209229/0.5750750303268433/0.03893648460507393,0.7199329733848572/0.6561989188194275/0.37866896390914917,0.722442626953125/0.6785511374473572/0.1995803266763687,0.7062532305717468/0.6699976325035095/0.3921433985233307,0.7108673453330994/0.6985567212104797/0.21334660053253174,0.737238883972168/0.6762567758560181/0.36317169666290283,0.7504779100418091/0.6939237117767334/0.1624419093132019
13.0,0.7523573438326517/0.4501843722882094/0.0522313103493717,0.7747621536254883/0.2460698038339615/-0.082835353910923,0.770553469657898/0.23583154380321503/-0.07350531965494156,0.7697041630744934/0.23520824313163757/-0.07355417311191559,0.7686875462532043/0.23437194526195526/-0.0735766589641571,0.7696723937988281/0.23638445138931274/-0.10255784541368484,0.7682340145111084/0.2362399846315384/-0.1025499701499939,0.7666469216346741/0.23591136932373047/-0.10264183580875397,0.7572728991508484/0.23782728612422943/-0.020538007840514183,0.7558883428573608/0.24042828381061554/-0.149725079536438,0.7710515856742859/0.25585195422172546/-0.05869739502668381,0.7698202729225159/0.25656312704086304/-0.09626973420381546,0.734808623790741/0.29170456528663635/0.07417120784521103,0.7457324266433716/0.3050417900085449/-0.2085341215133667,0.7401604652404785/0.365224152803421/0.18031014502048492,0.7609374523162842/0.38750237226486206/-0.2386753112077713,0.7621158361434937/0.39334070682525635/0.2303752303123474,0.7829239964485168/0.453849196434021/-0.21420451998710632,0.7640448808670044/0.39994826912879944/0.2448914349079132,0.7872087359428406/0.4726020395755768/-0.2418067306280136,0.7691105008125305/0.39512398838996887/0.22617405652999878,0.7917715907096863/0.47094953060150146/-0.23540844023227692,0.7699235677719116/0.3935929834842682/0.22288575768470764,0.7893142700195312/0.4648769795894623/-0.2110440582036972,0.7379960417747498/0.4551864266395569/0.08557560294866562,0.7436615824699402/0.4649728536605835/-0.08570557087659836,0.7308063507080078/0.5632490515708923/0.22621124982833862,0.7321444749832153/0.5752213001251221/0.03947434946894646,0.7186725735664368/0.6536041498184204/0.3818037807941437,0.7216277718544006/0.678655207157135/0.19969482719898224,0.7045240998268127/0.6654428839683533/0.39537313580513,0.7104235291481018/0.6985228657722473/0.21358348429203033,0.7369053959846497/0.6757076978683472/0.3688056170940399,0.7500388622283936/0.6939185857772827/0.16435982286930084
14.0,0.7519655845783375/0.44964923626846737/0.059549415622044494,0.7729450464248657/0.24747483432292938/-0.07310207933187485,0.7691627144813538/0.23751182854175568/-0.06448537111282349,0.7682716250419617/0.23680230975151062/-0.06453124433755875,0.7672324180603027/0.23589444160461426/-0.06456203013658524,0.7687425017356873/0.23823204636573792/-0.09282132238149643,0.7675819396972656/0.2380898892879486/-0.09281060099601746,0.7662752270698547/0.2377813160419464/-0.09290152788162231,0.7563893795013428/0.23841212689876556/-0.017207881435751915,0.7558882832527161/0.24145911633968353/-0.1433153748512268,0.7688620686531067/0.25646719336509705/-0.05108730122447014,0.7683793902397156/0.2574533224105835/-0.08769728988409042,0.7303558588027954/0.29142656922340393/0.07488615810871124,0.7480270266532898/0.3054398000240326/-0.2005303055047989,0.7371910214424133/0.3649253845214844/0.18944399058818817,0.7617073059082031/0.38711392879486084/-0.22739668190479279,0.7613840103149414/0.39241844415664673/0.25550681352615356,0.7832686305046082/0.4528631567955017/-0.20228447020053864,0.7633944153785706/0.39556995034217834/0.2734668254852295,0.7879738807678223/0.4721415638923645/-0.2276480346918106,0.7687387466430664/0.39091479778289795/0.2548222243785858,0.7926587462425232/0.47008267045021057/-0.2226894348859787,0.769449770450592/0.39146244525909424/0.24868206679821014,0.7899506688117981/0.464116632938385/-0.1988404393196106,0.7365173697471619/0.4550701677799225/0.08467189967632294,0.7444503903388977/0.46482226252555847/-0.08484689891338348,0.7308990955352783/0.5627616047859192/0.22298172116279602,0.7323825359344482/0.5747881531715393/0.04080348089337349,0.7188566327095032/0.6536135077476501/0.3729648292064667,0.7216694355010986/0.6779899597167969/0.19762705266475677,0.7049335837364197/0.666270911693573/0.38614317774772644,0.7105770111083984/0.6976119875907898/0.21184377372264862,0.7369835376739502/0.6741760969161987/0.36212393641471863,0.7492369413375854/0.6936827898025513/0.1685124635696411
15.0,0.7517097879339147/0.44891063151536165/0.05161933166285356,0.7711140513420105/0.24830584228038788/-0.061593782156705856,0.7675009965896606/0.23835167288780212/-0.053108423948287964,0.7666404843330383/0.237599715590477/-0.05315433815121651,0.7656734585762024/0.23666782677173615/-0.053173791617155075,0.7671073079109192/0.23905493319034576/-0.0817800760269165,0.7660472393035889/0.2388388067483902/-0.08178325742483139,0.7649089694023132/0.23847173154354095/-0.08188281953334808,0.7553988099098206/0.2386195957660675/-0.00811430811882019,0.7553581595420837/0.24168922007083893/-0.1355641484260559,0.7670047283172607/0.25692880153656006/-0.04073876515030861,0.7666199803352356/0.25795307755470276/-0.07774847000837326,0.7307295203208923/0.2914161682128906/0.08169569820165634,0.7481402158737183/0.3052884340286255/-0.19731764495372772,0.7377763390541077/0.3666480779647827/0.18897013366222382,0.7617267966270447/0.38613754510879517/-0.22243991494178772,0.76169353723526/0.39335742592811584/0.23863087594509125,0.7831599712371826/0.452213317155838/-0.1897791475057602,0.7639047503471375/0.3969516456127167/0.26318585872650146,0.7878669500350952/0.4719926714897156/-0.21294483542442322,0.7683411836624146/0.3817201554775238/0.23805908858776093,0.7923745512962341/0.4693957567214966/-0.20443910360336304,0.770334005355835/0.3922722041606903/0.23014815151691437,0.789696216583252/0.46361440420150757/-0.18526296317577362,0.7368649840354919/0.4546980559825897/0.08508171141147614,0.7445688843727112/0.463927686214447/-0.08524205535650253,0.7322038412094116/0.561402440071106/0.20927053689956665,0.7325229644775391/0.5729035139083862/0.020321914926171303,0.7176772952079773/0.6531254053115845/0.3396868109703064,0.7205508351325989/0.6751607656478882/0.15548694133758545,0.7047922015190125/0.6631089448928833/0.35051587224006653,0.710211455821991/0.6956803798675537/0.16715383529663086,0.7372586727142334/0.672493577003479/0.3252963423728943,0.7482733726501465/0.6935819387435913/0.12140332162380219
