Frame,Centre,nose,left eye(inner),left eye,left eye(outer),right eye(inner),right eye,right eye(outer),left ear,right ear,mouth(left),mouth(right),left shoulder,right shoulder,left elbow,right elbow,left wrist,right wrist,left pinky,right pinky,left index,right index,left thumb,right thumb,left hip,right hip,left knee,right knee,left ankle,right ankle,left heel,right heel,left foot index,right foot index
1.0,0.7185017002953423/0.4248311624482826/0.0026758710888248904,0.7254573106765747/0.24032901227474213/-0.08856816589832306,0.7239633798599243/0.2310161143541336/-0.07595723867416382,0.725165843963623/0.23037995398044586/-0.07602458447217941,0.7263408303260803/0.22980479896068573/-0.07604987919330597,0.7125464081764221/0.23299258947372437/-0.09823378175497055,0.717606782913208/0.23361951112747192/-0.0982239842414856,0.7156451940536499/0.23432612419128418/-0.09834948182106018,0.712743878364563/0.23535682260990143/-0.008449963293969631,0.7033607959747314/0.23678390681743622/-0.07380951941013336,0.7285778522491455/0.24949663877487183/-0.05875770375132561,0.7230844497680664/0.2519981563091278/-0.08363689482212067,0.7271525263786316/0.28500813245773315/0.07878022640943527,0.714227557182312/0.289866179227829/-0.08008760213851929,0.7272654175758362/0.3614397943019867/0.1146187037229538,0.705844521522522/0.36781489849090576/-0.08439011871814728,0.7227462530136108/0.3874637484550476/0.042936041951179504,0.7102071046829224/0.4040905237197876/-0.1042560562491417,0.7213150262832642/0.3963484466075897/0.03346105292439461,0.7103830575942993/0.41817647218704224/-0.12392308562994003,0.7235685586929321/0.3887541890144348/0.017971063032746315,0.7116173505783081/0.41209036111831665/-0.1294047236442566,0.7238867878913879/0.3866164982318878/0.034365467727184296,0.7108104825019836/0.4066128730773926/-0.10580231994390488,0.7241700291633606/0.4261150658130646/0.057440631091594696,0.7219475507736206/0.42628729343414307/-0.0575447678565979,0.7211595177650452/0.5176146626472473/0.13003405928611755,0.7188073992729187/0.5285742282867432/-0.05356016755104065,0.714074969291687/0.6158818006515503/0.2414279729127884,0.7154940366744995/0.6393517255783081/0.0056826770305633545,0.7042602896690369/0.6437377333641052/0.24838268756866455,0.7078573107719421/0.661492109298706/0.007895244285464287,0.7295834422111511/0.6365002989768982/0.1889433115720749,0.7399424314498901/0.656639814376831/-0.07749953120946884
2.0,0.7251093343452171/0.4193206760618422/0.03740198303152014,0.7378515601158142/0.24023300409317017/0.10368428379297256,0.7347112894058228/0.23154397308826447/0.11484786123037338,0.735249936580658/0.23095688223838806/0.11480283737182617,0.7357499003410339/0.2304147630929947/0.11480708420276642,0.7310730218887329/0.2331971973180771/0.09757199883460999,0.7300601601600647/0.23373821377754211/0.09756509959697723,0.728373110294342/0.23433947563171387/0.09741908311843872,0.7295249700546265/0.23510265350341797/0.16357740759849548,0.7209199666976929/0.23722991347312927/0.08682012557983398,0.74083411693573/0.25456300377845764/0.12395073473453522,0.7350859642028809/0.25108200311660767/0.10162509977817535,0.7290183305740356/0.28528493642807007/0.20565089583396912,0.723570704460144/0.2811649739742279/0.018735330551862717,0.7232127785682678/0.3600439131259918/0.2157653123140335,0.7203084230422974/0.3553270697593689/-0.03861602395772934,0.7260823249816895/0.37675273418426514/0.12671947479248047,0.7275101542472839/0.38804954290390015/-0.06572144478559494,0.7257594466209412/0.3948066830635071/0.15397107601165771,0.7276774644851685/0.40156999230384827/-0.07936123758554459,0.7292649745941162/0.3820977210998535/0.10917556285858154,0.7276377081871033/0.39640119671821594/-0.08059850335121155,0.7297593355178833/0.3732090890407562/0.09077130258083344,0.7266702055931091/0.3909825384616852/-0.06578295677900314,0.7266112565994263/0.4202309250831604/0.05715677887201309,0.7261576652526855/0.4126763939857483/-0.05724063515663147,0.7252530455589294/0.5203544497489929/0.03005359135568142,0.7184799313545227/0.5175880789756775/-0.06578703224658966,0.7113772630691528/0.6226466298103333/0.04061582684516907,0.7128199338912964/0.6335566639900208/-0.04261445254087448,0.7030790448188782/0.6460896730422974/0.03814651817083359,0.704596757888794/0.6542035341262817/-0.04173598438501358,0.7305576205253601/0.6405048966407776/-0.01744801737368107,0.7383310794830322/0.6499060392379761/-0.10165949165821075
3.0,0.7228170809922395/0.4281462353688699/-0.035727720638668095,0.7256484031677246/0.24618636071681976/-0.14963990449905396,0.7277736067771912/0.23802338540554047/-0.13945776224136353,0.7300950288772583/0.23753006756305695/-0.1395260989665985,0.7323676347732544/0.23713725805282593/-0.13957534730434418,0.7210774421691895/0.2393953949213028/-0.1394907683134079,0.7186601758003235/0.23985297977924347/-0.1394767314195633,0.7162327766418457/0.24034757912158966/-0.13958536088466644,0.7339650988578796/0.24077202379703522/-0.05951722338795662,0.7133439183235168/0.24391698837280273/-0.05272483825683594,0.7297058701515198/0.25736573338508606/-0.11653753370046616,0.7224196195602417/0.25562193989753723/-0.11594442278146744,0.7316698431968689/0.28725185990333557/0.005388063378632069,0.711128294467926/0.2873028814792633/-0.03735325112938881,0.7353400588035583/0.3662799000740051/0.01708773896098137,0.7087092995643616/0.3642210364341736/-0.0314481221139431,0.7391980290412903/0.3964460790157318/-0.07095751166343689,0.7158995866775513/0.40218207240104675/-0.08577098697423935,0.7413756251335144/0.4101845920085907/-0.09215787053108215,0.716947078704834/0.4151826500892639/-0.10229852050542831,0.741906464099884/0.40272796154022217/-0.10520298779010773,0.7168575525283813/0.409230500459671/-0.1195104569196701,0.740260124206543/0.39698225259780884/-0.07918580621480942,0.7166969180107117/0.40454286336898804/-0.09294171631336212,0.7319720983505249/0.4284558594226837/0.012532399967312813,0.7173007726669312/0.42642009258270264/-0.012576724402606487,0.7165595889091492/0.5296657681465149/0.014543123543262482,0.7149209380149841/0.5306746363639832/-0.05096103996038437,0.71055006980896/0.6257291436195374/0.083409883081913,0.7118750810623169/0.6355990767478943/0.0765329971909523,0.7047651410102844/0.6473326086997986/0.08604085445404053,0.7067354917526245/0.654747724533081/0.08322449773550034,0.7311084866523743/0.6427174210548401/0.015666117891669273,0.7292017340660095/0.6522083282470703/0.015654783695936203
4.0,0.7109360253369367/0.40256889164447784/-0.019020523634497768,0.7000333070755005/0.24881185591220856/-0.10487552732229233,0.7013301253318787/0.24020661413669586/-0.10469633340835571,0.7023329138755798/0.24022279679775238/-0.10475149005651474,0.7033105492591858/0.24034073948860168/-0.10478608310222626,0.699527382850647/0.24027490615844727/-0.10972031205892563,0.6987642645835876/0.24036051332950592/-0.10972088575363159,0.6980796456336975/0.24053822457790375/-0.10982115566730499,0.7051880359649658/0.2440946102142334/-0.07712554931640625,0.6987602710723877/0.24394983053207397/-0.07700105011463165,0.7027421593666077/0.2584945857524872/-0.08579490333795547,0.6995452642440796/0.2570160925388336/-0.09367866814136505,0.692166268825531/0.2864542305469513/-0.03524496406316757,0.7165483236312866/0.282522052526474/-0.06278806179761887,0.6908892393112183/0.35254305601119995/-0.01385383028537035,0.7232572436332703/0.33562469482421875/-0.07003028690814972,0.694808840751648/0.3545905351638794/-0.02960454858839512,0.7352526187896729/0.33159440755844116/-0.10341942310333252,0.694444477558136/0.3579608201980591/-0.0395360067486763,0.7410907745361328/0.33400189876556396/-0.11519412696361542,0.6982160210609436/0.34867703914642334/-0.041605379432439804,0.7381649017333984/0.32495376467704773/-0.12061157077550888,0.699470043182373/0.34837421774864197/-0.03082609735429287,0.7346470355987549/0.3252454996109009/-0.1057341918349266,0.7008289694786072/0.4220006763935089/0.013975141569972038,0.7135946750640869/0.4198717474937439/-0.0142450500279665,0.7066396474838257/0.5089403390884399/0.07517026364803314,0.7228449583053589/0.5082162022590637/-0.02176433429121971,0.7092294096946716/0.6098049879074097/0.16782152652740479,0.7142747044563293/0.6287167072296143/0.06837564706802368,0.7056883573532104/0.6380375623703003/0.17532174289226532,0.7102714776992798/0.6490129828453064/0.07378645241260529,0.7165597081184387/0.618033230304718/0.13489654660224915,0.7301159501075745/0.6318164467811584/0.020032111555337906
5.0,0.7047908151591266/0.3695706934840591/-0.0026402660749024814,0.6997550129890442/0.24618473649024963/-0.09216917306184769,0.7027745246887207/0.23696660995483398/-0.08929450064897537,0.7052813768386841/0.23665335774421692/-0.08938546478748322,0.7077230215072632/0.23645177483558655/-0.08934835344552994,0.696378231048584/0.237743079662323/-0.08060771226882935,0.6940830945968628/0.23797723650932312/-0.08061085641384125,0.6918386220932007/0.23827165365219116/-0.08068348467350006,0.7119236588478088/0.23867933452129364/-0.029656410217285156,0.6907557249069214/0.2411445826292038/-0.008343024179339409,0.6962247490882874/0.2477930337190628/-0.0793859213590622,0.6931390762329102/0.2465791255235672/-0.059602826833724976,0.7123700380325317/0.2734973728656769/0.024629060178995132,0.6942707300186157/0.2724502980709076/0.03149515390396118,0.7130333781242371/0.3276456892490387/0.06613682955503464,0.675960898399353/0.3071676194667816/0.0230520348995924,0.7253775596618652/0.27590951323509216/0.06485099345445633,0.680130124092102/0.26586756110191345/-0.017148828133940697,0.7213798761367798/0.27244681119918823/0.04680373892188072,0.6815766096115112/0.25515928864479065/-0.022775840014219284,0.7246463894844055/0.25921717286109924/0.06731148809194565,0.6816338896751404/0.25177115201950073/-0.02914237044751644,0.7250500917434692/0.26588448882102966/0.009828507900238037,0.6816752552986145/0.25725945830345154/-0.01955997571349144,0.7101656198501587/0.404528945684433/0.006472599692642689,0.7098422646522522/0.40621381998062134/-0.00655490905046463,0.7059617638587952/0.4921083152294159/0.01892203278839588,0.72343909740448/0.5022926926612854/-0.04298599436879158,0.7062854170799255/0.5823274850845337/0.057414375245571136,0.7152076363563538/0.6199305057525635/-0.031923748552799225,0.7059653997421265/0.6009138226509094/0.059374503791332245,0.7114771008491516/0.6405066847801208/-0.032238155603408813,0.7095900774002075/0.5965284109115601/0.015083381906151772,0.7225145697593689/0.6284008026123047/-0.09117470681667328
6.0,0.7040161490440369/0.39199988543987274/0.029491857522063784,0.6967328190803528/0.23609894514083862/-0.0658121407032013,0.6931990385055542/0.2290065437555313/-0.08213947713375092,0.6923412680625916/0.22947198152542114/-0.08213724195957184,0.7016115188598633/0.2345074713230133/-0.08213339745998383,0.6963773965835571/0.22820138931274414/-0.07279016822576523,0.7020636200904846/0.23479147255420685/-0.07280918955802917,0.7020689845085144/0.23493598401546478/-0.07291068136692047,0.7010432481765747/0.2382667064666748/-0.0662384033203125,0.7025719285011292/0.23954269289970398/-0.03178095817565918,0.6942999958992004/0.2436870038509369/-0.07471616566181183,0.6966772079467773/0.24295859038829803/-0.05753779411315918,0.6877082586288452/0.2760311961174011/-0.029246356338262558,0.7087950110435486/0.27899131178855896/-0.057371605187654495,0.6744122505187988/0.3344319462776184/0.027118712663650513,0.6774262189865112/0.3271075487136841/-0.03811532258987427,0.6824690103530884/0.315605491399765/0.05692114308476448,0.7221156358718872/0.33548828959465027/-0.018579553812742233,0.6815449595451355/0.31349387764930725/0.050843555480241776,0.725506603717804/0.3409608006477356/-0.021980777382850647,0.6871227025985718/0.3048868775367737/0.052292902022600174,0.7244933247566223/0.3397626578807831/-0.033674031496047974,0.6888270378112793/0.3068714737892151/0.051816970109939575,0.7227537631988525/0.3391343355178833/-0.021995369344949722,0.7055482268333435/0.4156292676925659/0.008551454171538353,0.7202099561691284/0.4176674485206604/-0.008711351081728935,0.7076663374900818/0.5095717906951904/0.06728224456310272,0.7179471254348755/0.5155861973762512/0.05799417570233345,0.708427369594574/0.5872241258621216/0.16327235102653503,0.7158070802688599/0.6251777410507202/0.16655154526233673,0.7074982523918152/0.6119028329849243/0.17093832790851593,0.7123227119445801/0.6383438110351562/0.17666587233543396,0.7141729593276978/0.6143871545791626/0.13361774384975433,0.7243360280990601/0.6351867914199829/0.13817298412322998
7.0,0.7053165215033071/0.3899529559744729/-0.0514901598777484,0.69086754322052/0.23477987945079803/-0.1640205830335617,0.6888763308525085/0.22630907595157623/-0.15871815383434296,0.6888736486434937/0.2267056256532669/-0.15874135494232178,0.689976692199707/0.2285853773355484/-0.15878121554851532,0.6874489188194275/0.22563500702381134/-0.15646275877952576,0.6870391964912415/0.2275930494070053/-0.15647384524345398,0.6860741376876831/0.2277151197195053/-0.15655913949012756,0.7035552263259888/0.235277459025383/-0.0953388512134552,0.6848028898239136/0.23239871859550476/-0.07326443493366241,0.6912245154380798/0.2443922907114029/-0.13762371242046356,0.6894324421882629/0.2439979612827301/-0.1346895545721054,0.7040334343910217/0.278113454580307/-0.03216685354709625,0.6944707036018372/0.28092482686042786/-0.046090565621852875,0.6945100426673889/0.3324117064476013/-0.054992347955703735,0.685463547706604/0.33986178040504456/-0.075826495885849,0.7130078077316284/0.29128792881965637/-0.13885554671287537,0.6969772577285767/0.34039080142974854/-0.18835051357746124,0.7123035192489624/0.27898678183555603/-0.15944267809391022,0.6999586820602417/0.3434344530105591/-0.2066127061843872,0.7173364162445068/0.2736731767654419/-0.1582784205675125,0.6991403698921204/0.3359176814556122/-0.2178594172000885,0.7183151841163635/0.2793401777744293/-0.14122942090034485,0.6978473663330078/0.33583706617355347/-0.19444464147090912,0.7123322486877441/0.41844502091407776/0.009196460247039795,0.7136086225509644/0.418406218290329/-0.009337968192994595,0.7116742134094238/0.515468180179596/0.04925452917814255,0.7176368832588196/0.5215795040130615/0.03392304852604866,0.7110193371772766/0.6076179146766663/0.13324174284934998,0.7175508141517639/0.6267089247703552/0.1312931478023529,0.7080115079879761/0.6180614829063416/0.13767528533935547,0.7110967040061951/0.6425507664680481/0.14059633016586304,0.7203107476234436/0.6179615259170532/0.07908949255943298,0.7270580530166626/0.6409041285514832/0.12392035871744156
8.0,0.7061959836218092/0.3987628044905486/-0.005329289535573615,0.694648027420044/0.2362963855266571/-0.07895796746015549,0.6928929090499878/0.22731517255306244/-0.08479484170675278,0.6924462914466858/0.22758398950099945/-0.08483243733644485,0.6930986046791077/0.22894570231437683/-0.0848483145236969,0.6982539892196655/0.2305935174226761/-0.0822177454829216,0.6979156136512756/0.23070524632930756/-0.08225764334201813,0.6974408030509949/0.23066404461860657/-0.08236947655677795,0.6950578689575195/0.2353561967611313/-0.06148967891931534,0.6973327398300171/0.2356174886226654/-0.0642043799161911,0.6944965720176697/0.2460961639881134/-0.07241322845220566,0.700213611125946/0.24911750853061676/-0.06822940707206726,0.6946109533309937/0.28132137656211853/-0.016347993165254593,0.7032657265663147/0.2818394899368286/-0.041202083230018616,0.6847469806671143/0.33574047684669495/0.016789307817816734,0.7044819593429565/0.33599111437797546/-0.02661127969622612,0.6902177929878235/0.33717384934425354/0.007024121470749378,0.718258261680603/0.33148735761642456/-0.03466637432575226,0.6908600926399231/0.3435814678668976/0.00022355625696945935,0.7220281958580017/0.3326996862888336/-0.04042370989918709,0.693400502204895/0.33637386560440063/-0.0055294702760875225,0.7196521162986755/0.3252611458301544/-0.049702346324920654,0.6944572329521179/0.3336911201477051/0.0035320320166647434,0.7174314260482788/0.32547932863235474/-0.03800860792398453,0.7120611071586609/0.42002540826797485/0.008689307607710361,0.7185641527175903/0.4210089445114136/-0.008817754685878754,0.7116940021514893/0.5182830691337585/0.02565302513539791,0.7170954346656799/0.5238637328147888/0.0049320426769554615,0.7100599408149719/0.6136466860771179/0.09242366999387741,0.719610333442688/0.6279184222221375/0.06789162009954453,0.7071914672851562/0.6269388198852539/0.09605495631694794,0.711053729057312/0.646135687828064/0.07226656377315521,0.7147921919822693/0.6235752105712891/0.04763299971818924,0.730009138584137/0.6420757174491882/0.019600261002779007
9.0,0.7059044241905212/0.39728025043452225/0.022683537875612576,0.6931705474853516/0.23722371459007263/0.025920744985342026,0.6912919282913208/0.22792159020900726/0.021762607619166374,0.6907971501350403/0.22815953195095062/0.02172105573117733,0.6903985738754272/0.22913490235805511/0.02169555053114891,0.6980896592140198/0.23204311728477478/0.02022094465792179,0.6979084014892578/0.23126046359539032/0.020188910886645317,0.6977680921554565/0.23104561865329742/0.02006499096751213,0.6897603273391724/0.23463015258312225/0.024098388850688934,0.6986225247383118/0.23636308312416077/0.017073076218366623,0.6920651197433472/0.24706585705280304/0.03150009363889694,0.69310462474823/0.24908021092414856/0.029438186436891556,0.6892210245132446/0.2823183238506317/0.03464559465646744,0.7085683345794678/0.2808246910572052/0.0189987700432539,0.6790802478790283/0.3367551863193512/0.05567442253232002,0.707425057888031/0.33454152941703796/0.009030801244080067,0.6872003078460693/0.3457722067832947/0.08834654837846756,0.7249521017074585/0.3203969895839691/-0.008747832849621773,0.6887956857681274/0.3512592613697052/0.0871998593211174,0.7288811802864075/0.31754153966903687/-0.013518357649445534,0.6923714876174927/0.34485530853271484/0.08584250509738922,0.7259382009506226/0.3112119734287262/-0.016475606709718704,0.6930480003356934/0.342909038066864/0.08818922936916351,0.7235799431800842/0.3130020797252655/-0.009684188291430473,0.7092118859291077/0.4179104268550873/0.011095031164586544,0.7208915948867798/0.41829797625541687/-0.011240191757678986,0.7097586393356323/0.511437714099884/0.039414964616298676,0.7183908224105835/0.5133658647537231/-0.033940643072128296,0.7077668309211731/0.6137677431106567/0.07899277657270432,0.7200502753257751/0.6259084343910217/-0.02443723753094673,0.7055368423461914/0.6316657662391663/0.07969355583190918,0.7108436822891235/0.6456937789916992/-0.02609623409807682,0.7105816602706909/0.6230601668357849/0.03690531104803085,0.730602502822876/0.6397077441215515/-0.08546404540538788
10.0,0.7055553219936512/0.3919760502047009/0.04712566353932575,0.6941776871681213/0.23781807720661163/0.032566413283348083,0.6915439963340759/0.22844849526882172/0.02721308544278145,0.6906728744506836/0.22857098281383514/0.02718428336083889,0.6898146867752075/0.22955921292304993/0.02716049551963806,0.6983076930046082/0.23262660205364227/0.02659309282898903,0.6984158754348755/0.23132185637950897/0.026559820398688316,0.6985792517662048/0.23120208084583282/0.026445874944329262,0.6885740756988525/0.23483136296272278/0.024492772296071053,0.7002121210098267/0.23710669577121735/0.02277621254324913,0.6924387216567993/0.2476404458284378/0.03647232428193092,0.693945050239563/0.2489132583141327/0.03593675047159195,0.685590386390686/0.28369995951652527/0.041550181806087494,0.7161164879798889/0.28042030334472656/0.02937989868223667,0.6722678542137146/0.3380764424800873/0.09677369892597198,0.7225457429885864/0.3272653818130493/0.06564453989267349,0.6812711358070374/0.3328005373477936/0.16482244431972504,0.72748863697052/0.29859617352485657/0.11699837446212769,0.6825949549674988/0.33207446336746216/0.17312483489513397,0.7313245534896851/0.2912681996822357/0.12339252233505249,0.6871495842933655/0.32732468843460083/0.16930271685123444,0.7267586588859558/0.2870524227619171/0.12088561058044434,0.6880413293838501/0.3282018005847931/0.1652671992778778,0.724519670009613/0.29067620635032654/0.11862783133983612,0.7081924676895142/0.41940584778785706/0.007758396677672863,0.7212276458740234/0.4199674725532532/-0.0079292431473732,0.7064692378044128/0.5140658020973206/0.033531855791807175,0.7182284593582153/0.5177409648895264/-0.03085382841527462,0.7051292061805725/0.6153020262718201/0.017676640301942825,0.7202903032302856/0.6261597871780396/-0.06799860298633575,0.7053818106651306/0.6333356499671936/0.012857536785304546,0.7111923694610596/0.643909215927124/-0.07486996799707413,0.7081766724586487/0.6276606917381287/-0.02523217536509037,0.7306888699531555/0.6420394778251648/-0.13056202232837677
