Frame,nose,left eye(inner),left eye,left eye(outer),right eye(inner),right eye,right eye(outer),left ear,right ear,mouth(left),mouth(right),left shoulder,right shoulder,left elbow,right elbow,left wrist,right wrist,left pinky,right pinky,left index,right index,left thumb,right thumb,left hip,right hip,left knee,right knee,left ankle,right ankle,left heel,right heel,left foot index,right foot index
11.0,"[0.3188580274581909, -0.12814700603485107, 0.09333492815494537]","[0.2960664629936218, -0.17851495742797852, 0.07776756584644318]","[0.2925894558429718, -0.17782795429229736, 0.077532559633255]","[0.2889702618122101, -0.17686951160430908, 0.07721404731273651]","[0.29857200384140015, -0.18260979652404785, 0.021313689649105072]","[0.29577338695526123, -0.1848517656326294, 0.020994963124394417]","[0.2931309938430786, -0.18707799911499023, 0.020537208765745163]","[0.2580159306526184, -0.15106475353240967, 0.054715465754270554]","[0.2691655158996582, -0.15766119956970215, -0.1972089260816574]","[0.3112316429615021, -0.07301342487335205, 0.10019838064908981]","[0.3075958788394928, -0.07605040073394775, 0.02789168804883957]","[0.189686119556427, 0.1635252833366394, 0.2447303831577301]","[0.28156375885009766, 0.0921473503112793, -0.4060499370098114]","[0.2915208041667938, 0.576622486114502, 0.3717934787273407]","[0.36752355098724365, 0.5338762402534485, -0.21145398914813995]","[0.37520286440849304, 0.6805993318557739, 0.44728389382362366]","[0.42995765805244446, 0.642449140548706, 0.28160274028778076]","[0.4120195209980011, 0.7172958254814148, 0.46784278750419617]","[0.45519909262657166, 0.6819267272949219, 0.313081294298172]","[0.41324275732040405, 0.6795974969863892, 0.4301217794418335]","[0.4509943127632141, 0.653952956199646, 0.31081703305244446]","[0.4148588478565216, 0.6594181060791016, 0.42783883213996887]","[0.42723211646080017, 0.652794361114502, 0.29279816150665283]","[0.2558823227882385, 0.9870295524597168, 0.20584918558597565]","[0.30118024349212646, 1.0040295124053955, -0.2053000032901764]","[0.3160852789878845, 1.3174784183502197, 0.4871453642845154]","[0.34974610805511475, 1.398857831954956, 0.02534561976790428]","[0.3943081498146057, 1.7952905893325806, 0.8688064217567444]","[0.3207225799560547, 1.9464466571807861, 0.3315710127353668]","[0.39049777388572693, 1.8979487419128418, 0.9011857509613037]","[0.28973931074142456, 2.0473623275756836, 0.3644382357597351]","[0.4855474829673767, 1.8447778224945068, 0.8973597884178162]","[0.40570637583732605, 2.0201215744018555, 0.28593289852142334]"
12.0,"[0.3324281871318817, -0.11942679435014725, 0.12642063200473785]","[0.30936282873153687, -0.16970042884349823, 0.10555557161569595]","[0.30473488569259644, -0.16912131011486053, 0.10525231063365936]","[0.30002033710479736, -0.16826403141021729, 0.10485511273145676]","[0.3150952160358429, -0.17362919449806213, 0.05011593922972679]","[0.31359824538230896, -0.17606699466705322, 0.049736011773347855]","[0.3122139573097229, -0.1784534603357315, 0.049144018441438675]","[0.26785504817962646, -0.14470796287059784, 0.06442930549383163]","[0.28905126452445984, -0.15097802877426147, -0.17987315356731415]","[0.3220444321632385, -0.06616546213626862, 0.12523356080055237]","[0.323058545589447, -0.06960605829954147, 0.05590276047587395]","[0.20982331037521362, 0.1582072526216507, 0.21686257421970367]","[0.283750057220459, 0.10571888834238052, -0.37352102994918823]","[0.3168015480041504, 0.5797264575958252, 0.3212169408798218]","[0.368387907743454, 0.5594109296798706, -0.2333833873271942]","[0.38540664315223694, 0.6268401145935059, 0.3844739496707916]","[0.4277665913105011, 0.6014013290405273, 0.11395487934350967]","[0.43558719754219055, 0.6679283976554871, 0.38882938027381897]","[0.4488315284252167, 0.6560625433921814, 0.13986405730247498]","[0.43873506784439087, 0.6161507368087769, 0.3553522527217865]","[0.4384925067424774, 0.5917232036590576, 0.11643771082162857]","[0.4185104966163635, 0.620969831943512, 0.3646351397037506]","[0.4263674318790436, 0.5940560698509216, 0.11306024342775345]","[0.2662765681743622, 0.9877892136573792, 0.18979941308498383]","[0.3008463978767395, 1.0033694505691528, -0.18939156830310822]","[0.3052035868167877, 1.4177730083465576, 0.37306156754493713]","[0.2736731767654419, 1.505773663520813, 0.004516542423516512]","[0.3424741327762604, 1.9636938571929932, 0.6543921232223511]","[0.25983726978302, 2.104304790496826, 0.1763671487569809]","[0.33268722891807556, 2.0614919662475586, 0.6737442016601562]","[0.22581885755062103, 2.2142436504364014, 0.19028428196907043]","[0.4155387878417969, 2.050464153289795, 0.6083205938339233]","[0.3553551137447357, 2.1783413887023926, 0.021448859944939613]"
13.0,"[0.33474650979042053, -0.10999290645122528, 0.29881811141967773]","[0.31193026900291443, -0.15716047585010529, 0.2782438099384308]","[0.3069325089454651, -0.156495600938797, 0.277997761964798]","[0.30187103152275085, -0.15554179251194, 0.2775982618331909]","[0.3193279802799225, -0.16133509576320648, 0.22189205884933472]","[0.3187699317932129, -0.16390830278396606, 0.22155600786209106]","[0.3183363378047943, -0.16638867557048798, 0.22097109258174896]","[0.27122411131858826, -0.13436497747898102, 0.23235484957695007]","[0.29910099506378174, -0.14237084984779358, -0.01403124537318945]","[0.3248983323574066, -0.06047821044921875, 0.29726219177246094]","[0.3288213312625885, -0.06424808502197266, 0.22715553641319275]","[0.2218806892633438, 0.13796858489513397, 0.3295415937900543]","[0.29663875699043274, 0.10526178032159805, -0.22308257222175598]","[0.32074978947639465, 0.540020227432251, 0.34660452604293823]","[0.36942481994628906, 0.5264270305633545, -0.19296854734420776]","[0.4043109714984894, 0.6227413415908813, 0.3305400013923645]","[0.4267301857471466, 0.6057572364807129, 0.11287973821163177]","[0.4442642331123352, 0.662635326385498, 0.31719881296157837]","[0.45043501257896423, 0.6578553915023804, 0.1344599425792694]","[0.4713252782821655, 0.6217613220214844, 0.29339995980262756]","[0.4408653676509857, 0.5986106991767883, 0.12110864371061325]","[0.4586934447288513, 0.6194538474082947, 0.30926749110221863]","[0.4343143701553345, 0.6023626327514648, 0.11500590294599533]","[0.27589747309684753, 0.9453865885734558, 0.1827830821275711]","[0.3041539788246155, 0.9438070058822632, -0.18240594863891602]","[0.3085044324398041, 1.4123286008834839, 0.2989128530025482]","[0.2805914580821991, 1.4881826639175415, -0.07098354399204254]","[0.34897592663764954, 1.9648818969726562, 0.5639780759811401]","[0.26639050245285034, 2.0855212211608887, 0.0880766212940216]","[0.3416038155555725, 2.0569398403167725, 0.5819995403289795]","[0.23370249569416046, 2.194683074951172, 0.10252488404512405]","[0.40728870034217834, 2.062619209289551, 0.49433958530426025]","[0.34942787885665894, 2.1578235626220703, -0.08107341825962067]"
14.0,"[0.3552631437778473, -0.08518218994140625, 0.29786932468414307]","[0.3315322697162628, -0.13262781500816345, 0.2764476239681244]","[0.32551905512809753, -0.13252635300159454, 0.27628713846206665]","[0.3194272816181183, -0.13210046291351318, 0.2758486568927765]","[0.34067901968955994, -0.13591153919696808, 0.21468091011047363]","[0.34069550037384033, -0.13849015533924103, 0.21442022919654846]","[0.34077876806259155, -0.14096343517303467, 0.213914155960083]","[0.28625693917274475, -0.11781251430511475, 0.2317042499780655]","[0.3200083076953888, -0.12238506972789764, -0.03926806151866913]","[0.324605256319046, 0.006102288141846657, 0.298393189907074]","[0.32865598797798157, 0.01126079075038433, 0.2208973616361618]","[0.22574996948242188, 0.13945408165454865, 0.3481970429420471]","[0.31161588430404663, 0.10582717508077621, -0.25787344574928284]","[0.3180612027645111, 0.5388560891151428, 0.42895153164863586]","[0.3780985474586487, 0.5265560746192932, -0.22023503482341766]","[0.41063037514686584, 0.6289713978767395, 0.4483242928981781]","[0.4268215596675873, 0.6105219125747681, 0.05636901780962944]","[0.4572087824344635, 0.6656486392021179, 0.4418726861476898]","[0.4705168604850769, 0.701205849647522, 0.07367660850286484]","[0.47921520471572876, 0.630687415599823, 0.4101274907588959]","[0.45843321084976196, 0.6237397789955139, 0.058352045714855194]","[0.467803031206131, 0.6294593811035156, 0.42507898807525635]","[0.4413202404975891, 0.6034896373748779, 0.05828307196497917]","[0.2758654057979584, 0.9466618895530701, 0.18384788930416107]","[0.3129836916923523, 0.9430373311042786, -0.18351908028125763]","[0.30460336804389954, 1.454916000366211, 0.30572545528411865]","[0.2760487198829651, 1.5362064838409424, -0.06750153005123138]","[0.33979135751724243, 2.039104700088501, 0.5951544642448425]","[0.26786312460899353, 2.1563823223114014, 0.11326446384191513]","[0.3309880793094635, 2.1361265182495117, 0.6146476864814758]","[0.23813949525356293, 2.265014886856079, 0.1286197006702423]","[0.39868006110191345, 2.120600461959839, 0.5089486241340637]","[0.34403401613235474, 2.2212114334106445, -0.07706724852323532]"
15.0,"[0.35542309284210205, -0.07809825241565704, 0.2709582448005676]","[0.33344316482543945, -0.13128142058849335, 0.22799871861934662]","[0.32690611481666565, -0.13170956075191498, 0.227817565202713]","[0.32026857137680054, -0.13178801536560059, 0.22741535305976868]","[0.345436692237854, -0.13394500315189362, 0.1801808476448059]","[0.34681951999664307, -0.1366855800151825, 0.17989592254161835]","[0.3483215868473053, -0.1393376588821411, 0.1793399304151535]","[0.2883009612560272, -0.11969754099845886, 0.1105102151632309]","[0.33268657326698303, -0.12352875620126724, -0.07877375185489655]","[0.3322708308696747, -0.007665146607905626, 0.24720710515975952]","[0.3417133688926697, -0.004967021755874157, 0.18684127926826477]","[0.2194918990135193, 0.1394752562046051, 0.1747334599494934]","[0.3324951231479645, 0.10619024932384491, -0.2943028211593628]","[0.3002816140651703, 0.54636150598526, 0.3055238723754883]","[0.40892547369003296, 0.5393273830413818, -0.15199069678783417]","[0.3899511396884918, 0.6572638750076294, 0.4432036280632019]","[0.42732667922973633, 0.6276764869689941, 0.2693658173084259]","[0.45402300357818604, 0.6959025859832764, 0.4522358179092407]","[0.4643229842185974, 0.7129707336425781, 0.32290396094322205]","[0.46834269165992737, 0.6528427004814148, 0.42225736379623413]","[0.4416731894016266, 0.6538113951683044, 0.2924474775791168]","[0.4599590003490448, 0.6472740173339844, 0.4231632351875305]","[0.4352973699569702, 0.6336478590965271, 0.2674817144870758]","[0.2751960754394531, 0.9507842063903809, 0.1700611114501953]","[0.31590330600738525, 0.9346687197685242, -0.17013153433799744]","[0.2958689332008362, 1.456294059753418, 0.35118040442466736]","[0.27698105573654175, 1.5658516883850098, 0.01725313439965248]","[0.33538928627967834, 2.0468592643737793, 0.6651154160499573]","[0.2686825096607208, 2.1887001991271973, 0.18838630616664886]","[0.3264889419078827, 2.1532886028289795, 0.686450183391571]","[0.24066776037216187, 2.2973291873931885, 0.19633273780345917]","[0.4047273099422455, 2.116166830062866, 0.6269668936729431]","[0.3476364314556122, 2.2550668716430664, 0.02774902805685997]"
16.0,"[0.35748255252838135, -0.1301359236240387, 0.26354148983955383]","[0.33409562706947327, -0.17947809398174286, 0.2048715054988861]","[0.32730692625045776, -0.1787979155778885, 0.20473302900791168]","[0.3204247057437897, -0.1777810901403427, 0.20434978604316711]","[0.3462989628314972, -0.1842496693134308, 0.14390237629413605]","[0.34749743342399597, -0.18738530576229095, 0.14359791576862335]","[0.3487865626811981, -0.19044621288776398, 0.14302004873752594]","[0.2875986099243164, -0.1590205281972885, 0.08281287550926208]","[0.33131563663482666, -0.16957400739192963, -0.16834287345409393]","[0.3384995758533478, -0.07388371229171753, 0.21762681007385254]","[0.34850266575813293, -0.07788291573524475, 0.14111091196537018]","[0.21079780161380768, 0.12622015178203583, 0.1882478892803192]","[0.3405643105506897, 0.09132324904203415, -0.3824780285358429]","[0.26563242077827454, 0.5474205613136292, 0.3140355348587036]","[0.4123757779598236, 0.5115764737129211, -0.273882120847702]","[0.3618122339248657, 0.6700490713119507, 0.41951984167099]","[0.4480654001235962, 0.6354993581771851, 0.0968862920999527]","[0.4176262617111206, 0.7299604415893555, 0.430121511220932]","[0.4760855436325073, 0.7069376707077026, 0.1317773163318634]","[0.44181615114212036, 0.6909294724464417, 0.39312058687210083]","[0.47496336698532104, 0.6575468182563782, 0.10944326221942902]","[0.4308369755744934, 0.6782190799713135, 0.3988352417945862]","[0.4659147262573242, 0.6357535123825073, 0.09875177592039108]","[0.2748676538467407, 0.9470379948616028, 0.1754128336906433]","[0.32826071977615356, 0.939760148525238, -0.17592591047286987]","[0.2989967465400696, 1.4451130628585815, 0.36199986934661865]","[0.2793301045894623, 1.5474270582199097, 0.011822259053587914]","[0.3404766917228699, 2.032445192337036, 0.7021939158439636]","[0.2797618508338928, 2.177828073501587, 0.20519812405109406]","[0.33339232206344604, 2.136809825897217, 0.72471022605896]","[0.2523491382598877, 2.292435646057129, 0.22128771245479584]","[0.4134203791618347, 2.105173110961914, 0.658542275428772]","[0.35499629378318787, 2.2355430126190186, 0.05606032535433769]"
17.0,"[0.34409812092781067, -0.1330609768629074, 0.3869832456111908]","[0.3209095001220703, -0.1802588254213333, 0.3299103081226349]","[0.310876727104187, -0.1796269714832306, 0.32986119389533997]","[0.30084288120269775, -0.17865480482578278, 0.32955750823020935]","[0.34527337551116943, -0.18408876657485962, 0.2878778874874115]","[0.3435702919960022, -0.18669064342975616, 0.2876146137714386]","[0.3435786962509155, -0.189291313290596, 0.2871452867984772]","[0.2694305181503296, -0.15855349600315094, 0.13902340829372406]","[0.3291451036930084, -0.16730698943138123, -0.04555105045437813]","[0.3238695561885834, -0.08369671553373337, 0.334612101316452]","[0.3293457329273224, -0.06934034079313278, 0.2819194495677948]","[0.18602372705936432, 0.11823170632123947, 0.18842194974422455]","[0.3436216115951538, 0.08833121508359909, -0.2622235417366028]","[0.24540679156780243, 0.5452827215194702, 0.26326122879981995]","[0.4339362680912018, 0.4729019105434418, -0.1756548434495926]","[0.3506993353366852, 0.6800030469894409, 0.35651513934135437]","[0.4478682279586792, 0.6361849308013916, 0.1690712720155716]","[0.3938247859477997, 0.7527098059654236, 0.35631898045539856]","[0.4739304780960083, 0.6923040747642517, 0.21711516380310059]","[0.4168693721294403, 0.7204625606536865, 0.3360908627510071]","[0.47193795442581177, 0.6571635603904724, 0.1689929962158203]","[0.4077630043029785, 0.7038773894309998, 0.341401070356369]","[0.46025270223617554, 0.6356245875358582, 0.15631143748760223]","[0.2596900761127472, 0.9338749051094055, 0.15280209481716156]","[0.3336842358112335, 0.9058887362480164, -0.15273219347000122]","[0.2998333275318146, 1.4459521770477295, 0.29583868384361267]","[0.28909623622894287, 1.5388085842132568, -0.01549091562628746]","[0.34317007660865784, 2.036186456680298, 0.6154773831367493]","[0.28803750872612, 2.165534019470215, 0.1843550205230713]","[0.3373616933822632, 2.1357765197753906, 0.6381331086158752]","[0.26539671421051025, 2.276588201522827, 0.19953949749469757]","[0.3960888683795929, 2.099886178970337, 0.5451198220252991]","[0.3555622398853302, 2.2190616130828857, 0.004225902259349823]"
18.0,"[0.30945655703544617, -0.1495831310749054, 0.3484451472759247]","[0.28694573044776917, -0.19507475197315216, 0.28360089659690857]","[0.2770910859107971, -0.19399361312389374, 0.28346073627471924]","[0.2672438621520996, -0.1926204413175583, 0.28317251801490784]","[0.31263667345046997, -0.19859562814235687, 0.25010472536087036]","[0.3175453245639801, -0.200450137257576, 0.24983197450637817]","[0.32312291860580444, -0.2022712528705597, 0.2493438422679901]","[0.2407311052083969, -0.1679752618074417, 0.07562604546546936]","[0.323737233877182, -0.17613178491592407, -0.06867530941963196]","[0.2944098711013794, -0.10300488024950027, 0.2939120829105377]","[0.31301936507225037, -0.10154557973146439, 0.2522549331188202]","[0.1781090795993805, 0.07469816505908966, 0.08326957374811172]","[0.34545475244522095, 0.08049508929252625, -0.25674504041671753]","[0.22814618051052094, 0.5065752267837524, 0.13084307312965393]","[0.44508227705955505, 0.40424299240112305, -0.1825958788394928]","[0.3457634150981903, 0.6977083683013916, 0.19721636176109314]","[0.45822831988334656, 0.6347517371177673, 0.10379359126091003]","[0.37935876846313477, 0.7669497132301331, 0.20245641469955444]","[0.47736284136772156, 0.6890446543693542, 0.1391131728887558]","[0.3995698094367981, 0.7405869960784912, 0.17946220934391022]","[0.4719372093677521, 0.6569646000862122, 0.11845280975103378]","[0.39055654406547546, 0.7209688425064087, 0.18455569446086884]","[0.46259504556655884, 0.6374849677085876, 0.1023663654923439]","[0.24856136739253998, 0.9112082719802856, 0.12366419285535812]","[0.35075369477272034, 0.8761632442474365, -0.12373367697000504]","[0.29585176706314087, 1.431957721710205, 0.30453506112098694]","[0.28961023688316345, 1.526160478591919, 0.020252516493201256]","[0.34027618169784546, 2.0143728256225586, 0.649029552936554]","[0.29298192262649536, 2.1493120193481445, 0.24269893765449524]","[0.33758804202079773, 2.115859031677246, 0.6764729022979736]","[0.2740120589733124, 2.2575013637542725, 0.25903335213661194]","[0.38261860609054565, 2.08256196975708, 0.6059020757675171]","[0.3563300669193268, 2.217836380004883, 0.056688059121370316]"
19.0,"[0.3065854609012604, -0.18640021979808807, 0.38145288825035095]","[0.2835790812969208, -0.22729556262493134, 0.3106873631477356]","[0.2736477851867676, -0.2243986278772354, 0.310617059469223]","[0.2636648714542389, -0.22125020623207092, 0.31032711267471313]","[0.3091449439525604, -0.23428936302661896, 0.2811146080493927]","[0.3154141306877136, -0.23647935688495636, 0.2808871269226074]","[0.322142630815506, -0.2386021912097931, 0.28045299649238586]","[0.2370118647813797, -0.1877286434173584, 0.07816319167613983]","[0.32142022252082825, -0.20687751471996307, -0.054654404520988464]","[0.2914855182170868, -0.13551528751850128, 0.3165356516838074]","[0.31256067752838135, -0.14250248670578003, 0.28005215525627136]","[0.17060934007167816, 0.08248182386159897, 0.08868074417114258]","[0.3675403892993927, 0.0743257999420166, -0.2527053952217102]","[0.2236781269311905, 0.5149292945861816, 0.15485261380672455]","[0.46292972564697266, 0.41634801030158997, -0.1512669175863266]","[0.3315277099609375, 0.7032467722892761, 0.25680291652679443]","[0.46456053853034973, 0.6371145844459534, 0.17985819280147552]","[0.35655659437179565, 0.7656687498092651, 0.2667199671268463]","[0.4773058593273163, 0.6889067888259888, 0.22396881878376007]","[0.3756445050239563, 0.7346330285072327, 0.24566087126731873]","[0.47190073132514954, 0.6659871339797974, 0.20517931878566742]","[0.37034034729003906, 0.7149808406829834, 0.24522630870342255]","[0.4638027548789978, 0.6463842391967773, 0.17904764413833618]","[0.24048705399036407, 0.8945155739784241, 0.12269200384616852]","[0.3684305250644684, 0.8652626872062683, -0.12255323678255081]","[0.29666027426719666, 1.4274579286575317, 0.3187330663204193]","[0.3147317171096802, 1.5206574201583862, 0.027120981365442276]","[0.3419525921344757, 2.000568151473999, 0.6684803366661072]","[0.3053837716579437, 2.1363260746002197, 0.25923946499824524]","[0.33920666575431824, 2.101547956466675, 0.6967787146568298]","[0.28699561953544617, 2.2447264194488525, 0.2777380645275116]","[0.3823681175708771, 2.0699222087860107, 0.634117841720581]","[0.3577219545841217, 2.2131595611572266, 0.0913512334227562]"
20.0,"[0.3057015836238861, -0.1911187618970871, 0.4131774306297302]","[0.28301724791526794, -0.23177216947078705, 0.3370042145252228]","[0.2732654809951782, -0.22859105467796326, 0.3370092213153839]","[0.2634502351284027, -0.2251509428024292, 0.3366723954677582]","[0.30817124247550964, -0.23892581462860107, 0.3170544505119324]","[0.3149432837963104, -0.2408512830734253, 0.3168489336967468]","[0.3220595419406891, -0.24269422888755798, 0.3164459466934204]","[0.23785743117332458, -0.18840572237968445, 0.08068583160638809]","[0.3218930959701538, -0.2074904590845108, -0.010066349059343338]","[0.29043033719062805, -0.13895729184150696, 0.33936235308647156]","[0.3124784827232361, -0.14610320329666138, 0.31530648469924927]","[0.16546837985515594, 0.08680494129657745, 0.06379742920398712]","[0.37773340940475464, 0.07401784509420395, -0.18848411738872528]","[0.23447522521018982, 0.5241745114326477, 0.12644319236278534]","[0.4778207242488861, 0.42881762981414795, -0.08502727001905441]","[0.33794766664505005, 0.7130034565925598, 0.26180920004844666]","[0.4729221761226654, 0.6523099541664124, 0.24089358747005463]","[0.36628758907318115, 0.7711858749389648, 0.26993146538734436]","[0.48145925998687744, 0.6927618980407715, 0.2816859781742096]","[0.38468724489212036, 0.7356879711151123, 0.25611624121665955]","[0.47922658920288086, 0.6762433648109436, 0.26426565647125244]","[0.3786519467830658, 0.7154449820518494, 0.2533428370952606]","[0.47122088074684143, 0.6637915968894958, 0.23957699537277222]","[0.24028174579143524, 0.8916518092155457, 0.08938310295343399]","[0.3726746439933777, 0.8620136380195618, -0.08888483792543411]","[0.29981133341789246, 1.4246408939361572, 0.3108876645565033]","[0.32652997970581055, 1.5118730068206787, 0.07717295736074448]","[0.34335002303123474, 1.9949055910110474, 0.6945299506187439]","[0.3138647973537445, 2.110112190246582, 0.379362016916275]","[0.33974891901016235, 2.0976548194885254, 0.7350225448608398]","[0.29835471510887146, 2.2137434482574463, 0.40518632531166077]","[0.3827407658100128, 2.053166151046753, 0.6584455370903015]","[0.3586205542087555, 2.1636428833007812, 0.22748035192489624]"
