Frame,Centre,nose,left eye(inner),left eye,left eye(outer),right eye(inner),right eye,right eye(outer),left ear,right ear,mouth(left),mouth(right),left shoulder,right shoulder,left elbow,right elbow,left wrist,right wrist,left pinky,right pinky,left index,right index,left thumb,right thumb,left hip,right hip,left knee,right knee,left ankle,right ankle,left heel,right heel,left foot index,right foot index
37.0,0.8017827228263572/0.4286472444181089/-0.031561219271410396,0.8097042441368103/0.26394736766815186/-0.2597566843032837,0.8150815367698669/0.2538081407546997/-0.2573350667953491,0.8178651332855225/0.25421372056007385/-0.25733476877212524,0.8206546902656555/0.2547003924846649/-0.25738394260406494,0.807628333568573/0.2519444227218628/-0.2557342052459717,0.8047733902931213/0.25104597210884094/-0.25573286414146423,0.8019427061080933/0.25014495849609375/-0.2557358741760254,0.8132275342941284/0.26113760471343994/-0.1965230256319046,0.7993204593658447/0.2609981894493103/-0.19275712966918945,0.807205319404602/0.2768740653991699/-0.23212863504886627,0.8028196096420288/0.27138540148735046/-0.23113341629505157,0.8269888758659363/0.29538074135780334/-0.15620701014995575,0.7786891460418701/0.2930586040019989/-0.10646319389343262,0.8414546251296997/0.3679918050765991/-0.13936837017536163,0.7666836380958557/0.3175883889198303/-0.046751510351896286,0.8719608783721924/0.4451602101325989/-0.20065058767795563,0.7662139534950256/0.2915797531604767/-0.03158978372812271,0.8768013715744019/0.46139004826545715/-0.21895620226860046,0.7683449387550354/0.2873070538043976/-0.03514843061566353,0.8759593367576599/0.46548590064048767/-0.2361205369234085,0.7628840804100037/0.2807645797729492/-0.05069059133529663,0.8731851577758789/0.45989230275154114/-0.20949959754943848,0.7616560459136963/0.28426674008369446/-0.038345109671354294,0.8063309192657471/0.45271554589271545/-0.013870283029973507,0.7909168601036072/0.4500228762626648/0.013736318796873093,0.7929073572158813/0.553127646446228/0.08514672517776489,0.7860284447669983/0.5491319298744202/0.14193585515022278,0.776187002658844/0.6532440185546875/0.22405627369880676,0.7773609161376953/0.6473550796508789/0.3005715310573578,0.7708708643913269/0.6688199639320374/0.2361566424369812,0.7718090415000916/0.663876473903656/0.31520146131515503,0.7861595153808594/0.6793084740638733/0.17136916518211365,0.7864633798599243/0.671664834022522/0.2556332051753998
38.0,0.801281127664778/0.4360758231745826/-0.03346810329498516,0.8101422786712646/0.2639569342136383/-0.15739518404006958,0.8150725960731506/0.25781741738319397/-0.14560623466968536,0.817834198474884/0.2584940791130066/-0.14566761255264282,0.8202992081642151/0.25861918926239014/-0.14571446180343628,0.8091222643852234/0.25599074363708496/-0.15030406415462494,0.8065196871757507/0.25540435314178467/-0.15030473470687866,0.8048791289329529/0.2544037699699402/-0.15035380423069,0.8190852999687195/0.26404473185539246/-0.06791870296001434,0.800894021987915/0.2623346447944641/-0.09194746613502502,0.8115314245223999/0.275739461183548/-0.12723815441131592,0.806529700756073/0.27139806747436523/-0.13432073593139648,0.8311499357223511/0.3095775544643402/-0.02150472067296505,0.778863251209259/0.3048979341983795/-0.06156526505947113,0.8450859785079956/0.376094788312912/-0.006374828051775694,0.7663917541503906/0.330265074968338/-0.10046226531267166,0.8721259832382202/0.44610628485679626/-0.07577060163021088,0.7590523362159729/0.3222837746143341/-0.20246312022209167,0.8772248029708862/0.46140480041503906/-0.09098704904317856,0.7539957761764526/0.323994904756546/-0.2270479053258896,0.8768582344055176/0.46539366245269775/-0.11296860873699188,0.7546656131744385/0.3200526535511017/-0.23916839063167572,0.8742803931236267/0.46016597747802734/-0.08673404902219772,0.756413459777832/0.32082968950271606/-0.21175089478492737,0.8063859343528748/0.45796075463294983/0.019939815625548363,0.7831451296806335/0.45569100975990295/-0.020010527223348618,0.794812023639679/0.556043803691864/0.08995168656110764,0.7859973907470703/0.5549905300140381/0.022922689095139503,0.7762682437896729/0.6497787833213806/0.22375822067260742,0.7767472863197327/0.646832287311554/0.1491953432559967,0.7686758041381836/0.6639538407325745/0.2344112992286682,0.7685573101043701/0.6623808145523071/0.15829473733901978,0.7931689023971558/0.6762100458145142/0.1616136133670807,0.7865421772003174/0.6716644167900085/0.07190227508544922
39.0,0.7966063110916702/0.45462303470682214/-0.02581887761199916,0.8102754354476929/0.2649226486682892/-0.17313584685325623,0.8147165775299072/0.2625420391559601/-0.16107995808124542,0.817031979560852/0.2628382742404938/-0.16114573180675507,0.819145679473877/0.262722373008728/-0.16118411719799042,0.8091027140617371/0.26193103194236755/-0.16787412762641907,0.806612491607666/0.2617977261543274/-0.16787678003311157,0.8051242232322693/0.2611248791217804/-0.16794665157794952,0.8199041485786438/0.266335129737854/-0.08116310089826584,0.8012837171554565/0.2665586769580841/-0.11238914728164673,0.8128905296325684/0.27574974298477173/-0.1417514532804489,0.8073416948318481/0.2733105421066284/-0.15076647698879242,0.8338662981987/0.3163776397705078/-0.02127660997211933,0.7776272296905518/0.31161874532699585/-0.07720940560102463,0.8458185195922852/0.3796257972717285/0.014970943331718445,0.756916344165802/0.3605366051197052/-0.10813732445240021,0.8705471158027649/0.4487901031970978/-0.05073786899447441,0.734373152256012/0.41940364241600037/-0.1891881674528122,0.8760579824447632/0.4648797810077667/-0.06650560349225998,0.7275629639625549/0.43123766779899597/-0.21662744879722595,0.8755673170089722/0.4686894714832306/-0.09094327688217163,0.7283334136009216/0.43286269903182983/-0.2376144379377365,0.8730385899543762/0.4640897214412689/-0.06320755183696747,0.7334365844726562/0.43270576000213623/-0.2011006623506546,0.8063706755638123/0.46182575821876526/0.02444344386458397,0.7773269414901733/0.4579448699951172/-0.02449709363281727,0.7948349714279175/0.5578241944313049/0.09783174842596054,0.784028947353363/0.5563470125198364/0.032857298851013184,0.7762193083763123/0.648359477519989/0.2367752492427826,0.7735291123390198/0.6467911601066589/0.18221424520015717,0.7674033641815186/0.6617293953895569/0.2473023682832718,0.7644117474555969/0.6617901921272278/0.1934642195701599,0.7970849871635437/0.6738498210906982/0.17315444350242615,0.7823193073272705/0.6706656813621521/0.10612782090902328
40.0,0.7967297964625888/0.4574082284061997/-0.02543268609723007,0.810808002948761/0.26716136932373047/-0.1579853743314743,0.8147314190864563/0.26337215304374695/-0.14645183086395264,0.8170381188392639/0.26366713643074036/-0.1465117484331131,0.8191670179367065/0.2635669410228729/-0.1465427726507187,0.8090966939926147/0.26305505633354187/-0.15684370696544647,0.8068764805793762/0.26314669847488403/-0.156858429312706,0.805569052696228/0.2626863121986389/-0.1569490134716034,0.821302056312561/0.26777589321136475/-0.06980490684509277,0.8022580742835999/0.2686353623867035/-0.11622650921344757,0.8147692680358887/0.2767258882522583/-0.12722355127334595,0.811538815498352/0.27590739727020264/-0.14082859456539154,0.8355847597122192/0.3228159546852112/-0.0023782909847795963,0.7781907320022583/0.31567832827568054/-0.1006096750497818,0.8468487858772278/0.38668492436408997/0.03862851858139038,0.756731390953064/0.3696347773075104/-0.13642577826976776,0.8672348260879517/0.4529308080673218/-0.02655259147286415,0.7339476943016052/0.42868682742118835/-0.2169363647699356,0.8729561567306519/0.4707058072090149/-0.04116934537887573,0.7268812656402588/0.44032108783721924/-0.24684880673885345,0.871610701084137/0.47389882802963257/-0.06613270193338394,0.7308019995689392/0.442292720079422/-0.26611974835395813,0.8692291975021362/0.4689248502254486/-0.039200589060783386,0.7328920364379883/0.43920791149139404/-0.227807879447937,0.8063863515853882/0.46214374899864197/0.03644389286637306,0.778978168964386/0.4591417610645294/-0.036510586738586426,0.7948006391525269/0.5575647950172424/0.10742007941007614,0.7836055755615234/0.5558546781539917/0.0273997001349926,0.7761720418930054/0.6438377499580383/0.24151065945625305,0.7726050615310669/0.6465868353843689/0.16991029679775238,0.7661554217338562/0.6574351787567139/0.2518053650856018,0.7633517384529114/0.6616268754005432/0.180180162191391,0.7984620332717896/0.6683312058448792/0.18325771391391754,0.7876017093658447/0.6695106029510498/0.09552238136529922
41.0,0.79446338724207/0.45479612328388075/-0.025279099514052546,0.8198784589767456/0.26101234555244446/-0.15881413221359253,0.8172805905342102/0.2607947289943695/-0.14684230089187622,0.8189716935157776/0.2613498270511627/-0.14690114557743073,0.8213557600975037/0.26133376359939575/-0.14693692326545715,0.813225269317627/0.2603563666343689/-0.15843817591667175,0.8109989762306213/0.26052534580230713/-0.15845714509487152,0.8100655674934387/0.26010364294052124/-0.1585504710674286,0.8227584362030029/0.26756757497787476/-0.06923941522836685,0.8056238889694214/0.2667037844657898/-0.12192162871360779,0.8186895847320557/0.2742246389389038/-0.12790367007255554,0.813763439655304/0.2736959159374237/-0.14325445890426636,0.8363950848579407/0.32235273718833923/-0.0018508130451664329,0.7780942320823669/0.3122286796569824/-0.1124921515583992,0.8467218279838562/0.3861762285232544/0.04158220440149307,0.7528035640716553/0.35879647731781006/-0.1481623500585556,0.8619328141212463/0.4523712396621704/-0.017784735187888145,0.7287895083427429/0.4235862195491791/-0.2351435273885727,0.867402970790863/0.4723048508167267/-0.031402189284563065,0.7127079963684082/0.42804116010665894/-0.2663358151912689,0.8661878108978271/0.47528573870658875/-0.05624307319521904,0.7235835790634155/0.4376918375492096/-0.28486260771751404,0.8635159134864807/0.46915900707244873/-0.03019925393164158,0.7280344367027283/0.4332204759120941/-0.2459038496017456,0.8056557774543762/0.4615119993686676/0.03933342918753624,0.7754706144332886/0.45909303426742554/-0.03939150646328926,0.7940263152122498/0.5568421483039856/0.11214674264192581,0.7789561748504639/0.5551737546920776/0.02011021040380001,0.7757580280303955/0.6423572301864624/0.2566988170146942,0.7684339284896851/0.6430101990699768/0.17686118185520172,0.7651650309562683/0.6564598083496094/0.2678714394569397,0.7602485418319702/0.6583534479141235/0.1884896159172058,0.7988174557685852/0.667458176612854/0.20193849503993988,0.7810960412025452/0.6648166179656982/0.1033373549580574
42.0,0.7926375181586655/0.4550242092874315/-0.0275737515443729,0.8217957019805908/0.26121169328689575/-0.178885355591774,0.8196834325790405/0.25962308049201965/-0.1638239622116089,0.8224252462387085/0.2604772448539734/-0.1637621521949768,0.8242872953414917/0.2604711055755615/-0.16384510695934296,0.8144973516464233/0.2588755190372467/-0.1813047081232071,0.8130514621734619/0.2592722475528717/-0.18135350942611694,0.8122237920761108/0.2590194642543793/-0.18155939877033234,0.8249202966690063/0.26751863956451416/-0.09821861237287521,0.8065930604934692/0.26530683040618896/-0.14245563745498657,0.819686770439148/0.2737506926059723/-0.14664313197135925,0.8138272166252136/0.27316343784332275/-0.16592393815517426,0.8356717228889465/0.3216417133808136/-0.021786237135529518,0.7754294276237488/0.3110648989677429/-0.1268700808286667,0.844876766204834/0.38572433590888977/0.03270473703742027,0.7521507740020752/0.3625533878803253/-0.1285770982503891,0.8527918457984924/0.45009055733680725/-0.024549901485443115,0.7283099293708801/0.4250321686267853/-0.1857147514820099,0.858478307723999/0.4713967740535736/-0.03688986226916313,0.714597225189209/0.43708357214927673/-0.211247056722641,0.8571940660476685/0.47469013929367065/-0.06171946972608566,0.7196626663208008/0.44089630246162415/-0.23221434652805328,0.8530948758125305/0.4683976471424103/-0.03692074492573738,0.727439820766449/0.4385572373867035/-0.19622930884361267,0.8045908212661743/0.46142566204071045/0.03575468063354492,0.7727999687194824/0.4576282203197479/-0.035778824239969254,0.7935678958892822/0.5559346079826355/0.10782621055841446,0.7744252681732178/0.5542824268341064/0.006752204615622759,0.7753497362136841/0.6408994793891907/0.25585368275642395,0.7686021327972412/0.6427891850471497/0.15688084065914154,0.7650682330131531/0.6552107334136963/0.26326197385787964,0.761410653591156/0.6580807566642761/0.16754405200481415,0.7976254224777222/0.6662079095840454/0.18459483981132507,0.781252384185791/0.6651146411895752/0.07495984435081482
43.0,0.790070911248525/0.44869368826901473/-0.055480518016136356,0.8178296089172363/0.2595006823539734/-0.2150166779756546,0.8190323114395142/0.2574048638343811/-0.19764593243598938,0.8211081027984619/0.25816765427589417/-0.19769808650016785,0.8242274522781372/0.2584995627403259/-0.19775189459323883,0.8130936622619629/0.2563142478466034/-0.20784588158130646,0.8123831152915955/0.2567560076713562/-0.20788708329200745,0.808723509311676/0.25588342547416687/-0.2080184817314148,0.8239694237709045/0.2637907564640045/-0.10772363096475601,0.8051354289054871/0.25986215472221375/-0.14330434799194336,0.8187257647514343/0.2713024914264679/-0.17459489405155182,0.810789167881012/0.27081024646759033/-0.18742816150188446,0.8353061079978943/0.3203248083591461/-0.026105109602212906,0.7715097069740295/0.31162577867507935/-0.11845362931489944,0.8395886421203613/0.3845142424106598/0.02413959801197052,0.7525222301483154/0.35827910900115967/-0.13719575107097626,0.843082070350647/0.44463348388671875/-0.03392341732978821,0.7300194501876831/0.4111269414424896/-0.24869975447654724,0.8473653793334961/0.46502259373664856/-0.04612712189555168,0.7142724990844727/0.40643998980522156/-0.27946341037750244,0.8454995155334473/0.4657739996910095/-0.06912071257829666,0.7181537747383118/0.4076472520828247/-0.2980998456478119,0.8431997299194336/0.4597734212875366/-0.045039102435112,0.7245327830314636/0.4058688282966614/-0.25968196988105774,0.8042815923690796/0.4602337181568146/0.03315109759569168,0.7716611623764038/0.4552774131298065/-0.033206548541784286,0.7921741008758545/0.5544573068618774/0.09562084078788757,0.7730972170829773/0.5535019040107727/-0.031183425337076187,0.775022566318512/0.6394398212432861/0.22311116755008698,0.76911461353302/0.642220139503479/0.09432964026927948,0.7651611566543579/0.6542953848838806/0.23078858852386475,0.7621368765830994/0.6580496430397034/0.10232647508382797,0.7969900965690613/0.6658255457878113/0.15059387683868408,0.780773937702179/0.6651319265365601/0.0023322398774325848
44.0,0.7899341362494009/0.4396455619070265/-0.06928396804465188,0.8135122060775757/0.2644364535808563/-0.21333090960979462,0.8148841857910156/0.2601732909679413/-0.19448383152484894,0.8167840838432312/0.26075997948646545/-0.1945580691099167,0.8205559849739075/0.26122528314590454/-0.19461192190647125,0.809093713760376/0.2588921785354614/-0.2010209858417511,0.8065675497055054/0.2587340772151947/-0.2010650932788849,0.8047396540641785/0.25813719630241394/-0.20119619369506836,0.8236969709396362/0.2653580904006958/-0.09683237969875336,0.8029506206512451/0.26111847162246704/-0.12065747380256653,0.8175365924835205/0.27519363164901733/-0.17047330737113953,0.8072662949562073/0.27431467175483704/-0.1789260357618332,0.8343487977981567/0.32053518295288086/-0.01941867358982563,0.7711870670318604/0.3122253119945526/-0.07509277015924454,0.8355022072792053/0.38363751769065857/0.014308100566267967,0.7533081769943237/0.3546644151210785/-0.12121636420488358,0.8341836929321289/0.44119638204574585/-0.04860617220401764,0.7392575144767761/0.35156574845314026/-0.23147663474082947,0.8355352878570557/0.4594002366065979/-0.06215788796544075,0.730483889579773/0.3536577522754669/-0.25863519310951233,0.8365426659584045/0.46080008149147034/-0.08222988992929459,0.7342143654823303/0.3499491810798645/-0.27339163422584534,0.8327308297157288/0.4539533853530884/-0.058361951261758804,0.7388473153114319/0.3496529459953308/-0.24098943173885345,0.8036558628082275/0.460149347782135/0.02861424721777439,0.7724261283874512/0.4549660086631775/-0.028726212680339813,0.7914592623710632/0.5531274080276489/0.0494743175804615,0.7724645733833313/0.5523996353149414/-0.06740278750658035,0.7739254236221313/0.6368483304977417/0.15390083193778992,0.7694997191429138/0.6422141194343567/0.03120957501232624,0.7643854022026062/0.6518428325653076/0.159649059176445,0.7633130550384521/0.6581905484199524/0.03575995936989784,0.795099139213562/0.6638694405555725/0.07374639064073563,0.7808886170387268/0.6651630401611328/-0.06940390914678574
45.0,0.7878718045022752/0.42504291512348036/-0.08024421684374963,0.8087194561958313/0.2636704742908478/-0.21470129489898682,0.8096818327903748/0.26014912128448486/-0.1976989209651947,0.8141239285469055/0.26056191325187683/-0.19778892397880554,0.8165743350982666/0.26105281710624695/-0.19786252081394196,0.8029871582984924/0.25882256031036377/-0.20195123553276062,0.8019399642944336/0.25851190090179443/-0.2020033597946167,0.7970229387283325/0.25809192657470703/-0.202141672372818,0.8236088752746582/0.2651480734348297/-0.10233525186777115,0.7958707213401794/0.25737518072128296/-0.11956410109996796,0.8142905831336975/0.2740379869937897/-0.17321071028709412,0.803347110748291/0.2736629247665405/-0.1792043149471283,0.8339270353317261/0.3193840980529785/-0.02860170230269432,0.7708530426025391/0.3121209442615509/-0.06970255076885223,0.8341197371482849/0.38060781359672546/0.001725273672491312,0.7518201470375061/0.3191531002521515/-0.12402700632810593,0.8314579129219055/0.42473649978637695/-0.053271662443876266,0.7362707257270813/0.28652411699295044/-0.2814593017101288,0.8296422362327576/0.45124128460884094/-0.06599471718072891,0.7286031246185303/0.27900582551956177/-0.3131434917449951,0.829983115196228/0.4463709890842438/-0.08419973403215408,0.7308521866798401/0.27537062764167786/-0.3258092701435089,0.8280776739120483/0.43516549468040466/-0.06203383579850197,0.7351980209350586/0.27905410528182983/-0.29171502590179443,0.803604245185852/0.45906534790992737/0.023778319358825684,0.7727612257003784/0.4534621238708496/-0.02381245233118534,0.7908530235290527/0.5524528622627258/0.028433581814169884,0.7724537253379822/0.5506895780563354/-0.06789000332355499,0.773452877998352/0.6363810300827026/0.13549652695655823,0.7697942852973938/0.642116904258728/0.039781603962183,0.763933539390564/0.6523581147193909/0.14159344136714935,0.7634280323982239/0.6582822203636169/0.04545522481203079,0.794887900352478/0.663988471031189/0.055373415350914,0.7807281613349915/0.6647325158119202/-0.05755481496453285
46.0,0.7859491794197647/0.436302469836341/-0.0654122859791473,0.8030011653900146/0.2587931752204895/-0.22794759273529053,0.8078877925872803/0.25565966963768005/-0.21323199570178986,0.8103834390640259/0.255977988243103/-0.2133183628320694,0.8147337436676025/0.2568735182285309/-0.21337343752384186,0.801079273223877/0.25456392765045166/-0.21512754261493683,0.8001859188079834/0.25472673773765564/-0.21517348289489746,0.7956054210662842/0.25380265712738037/-0.21531078219413757,0.8199719190597534/0.2624002695083618/-0.11800795793533325,0.7948240041732788/0.25728553533554077/-0.12720806896686554,0.8101567029953003/0.2691865861415863/-0.1907244175672531,0.8013370633125305/0.26937630772590637/-0.19332320988178253,0.8339009881019592/0.3188686966896057/-0.03530096635222435,0.7667268514633179/0.3113473057746887/-0.07784883677959442,0.8341512680053711/0.3766857981681824/-0.003125123679637909,0.749725341796875/0.34607604146003723/-0.0815068930387497,0.8302128314971924/0.42244604229927063/-0.06133611872792244,0.7310991883277893/0.35442259907722473/-0.20622816681861877,0.828680157661438/0.45016971230506897/-0.07410266250371933,0.7231284976005554/0.3617175221443176/-0.2355869859457016,0.8284628391265869/0.44471603631973267/-0.0952061265707016,0.7252346873283386/0.3560431897640228/-0.26407963037490845,0.8267608880996704/0.4387485384941101/-0.07141710072755814,0.7300764918327332/0.354105681180954/-0.22025233507156372,0.803617000579834/0.45892441272735596/0.021265126764774323,0.7712509036064148/0.4521849751472473/-0.021247699856758118,0.7909131050109863/0.552288830280304/0.05164214223623276,0.7715731859207153/0.550192654132843/-0.06166467443108559,0.7732841372489929/0.6355473399162292/0.17394301295280457,0.7699917554855347/0.6416148543357849/0.055042143911123276,0.7636616826057434/0.6517238020896912/0.18182016909122467,0.7634901404380798/0.6583324074745178/0.06173665076494217,0.7948259711265564/0.6630306839942932/0.0981525108218193,0.7805690765380859/0.6639376878738403/-0.043618910014629364
