Body_ID,Date,Time,0_NOSE,1_NECK,2_RIGHT_SHOULDER,3_RIGHT_ELBOW,4_RIGHT_WRIST,5_LEFT_SHOULDER,6_LEFT_ELBOW,7_LEFT_WRIST,8_RIGHT_HIP,9_RIGHT_KNEE,10_RIGHT_ANKLE,11_LEFT_HIP,12_LEFT_KNEE,13_LEFT_ANKLE,14_RIGHT_EYE,15_LEFT_EYE,16_RIGHT_EAR,17_LEFT_EAR
0,2023-04-04,16:19:34.614526,"-1.1033764,0.110741675,-3.0642605","-1.0498768,-0.047761887,-3.0469987","-0.9377067,-0.051713288,-3.252052","-0.8485674,-0.2826584,-3.344299","-0.82878035,-0.50957495,-3.4567409","-1.1620469,-0.043810546,-2.8419454","-1.1814808,-0.30190542,-2.7890267","-1.2341007,-0.5489123,-2.7617416","-0.9363716,-0.5051432,-3.0858223","-0.92070156,-0.8442051,-3.0530102","-0.91082007,-1.1460764,-3.0274045","-1.0663255,-0.5067038,-2.9374247","-1.0898522,-0.8243369,-3.0592482","-1.0613658,-1.1195009,-3.1220677","-1.0761316,0.1453746,-3.0907364","-1.1136799,0.13562971,-3.0204754","-1.0041684,0.13999543,-3.137064","-1.1105548,0.11238468,-2.93799"
0,2023-04-04,16:19:34.734127,"-0.9918257,-0.026592135,-2.3240175","-0.96949136,-0.17944232,-2.2822826","-0.82740635,-0.17812085,-2.383647","-0.78110725,-0.40576765,-2.422572","-0.75555754,-0.62248874,-2.4831955","-1.1115763,-0.18076378,-2.1809177","-1.1541038,-0.41213822,-2.192712","-1.203857,-0.63174367,-2.2170856","-0.86596066,-0.6173839,-2.2982078","-0.89361894,-0.9547684,-2.293037","-0.9137142,-1.2547584,-2.2801557","-1.0257641,-0.6193899,-2.211559","-1.0432112,-0.9432963,-2.3085139","-1.0355786,-1.2410533,-2.3514836","-0.9646461,0.0031277835,-2.323592","-1.0106313,-0.0005836189,-2.2996848","-0.90281147,-0.008833647,-2.3100345","-1.033103,-0.019349277,-2.2422976"
0,2023-04-04,16:19:34.866683,"-0.9564976,-0.033309907,-2.3247404","-0.9698136,-0.17954513,-2.2830977","-0.8248821,-0.1781928,-2.3156557","-0.8291703,-0.39215574,-2.3501403","-0.83367914,-0.5975909,-2.3850522","-1.1147453,-0.18089756,-2.25054","-1.168096,-0.39099592,-2.2501872","-1.22377,-0.59045434,-2.2738411","-0.8804134,-0.60190976,-2.2920396","-0.91661215,-0.92834365,-2.361693","-0.94484746,-1.2220124,-2.4066923","-1.0467217,-0.6016618,-2.2536254","-1.0748872,-0.92767555,-2.3287435","-1.0947813,-1.2220846,-2.3733642","-0.9358099,-0.007092446,-2.310397","-0.9778138,-0.0068289638,-2.3118773","-0.89880526,-0.023071289,-2.2693098","-1.0178165,-0.02232477,-2.273504"
1,2023-04-04,16:19:37.599693,"-1.588945,1.224181,-9.926668","-1.626323,1.0328016,-9.915474","-1.4598823,1.0098386,-9.835633","-1.4173484,0.7755384,-9.910881","-1.3777053,0.5492909,-9.980904","-1.7927637,1.0557647,-9.995315","-1.7934085,0.8136505,-10.056537","-1.7948577,0.5804496,-10.11379","-1.5374563,0.4802537,-10.022805","-1.5194597,0.11572838,-10.187575","-1.517908,-0.21949756,-10.307236","-1.719148,0.504663,-10.110709","-1.6651992,0.12027812,-10.209144","-1.6302457,-0.22831547,-10.272059","-1.5613458,1.2439072,-9.873828","-1.637617,1.2590503,-9.907743","-1.5302491,1.1937672,-9.77163","-1.7463509,1.2366729,-9.867723"
2,2023-04-04,16:19:37.930586,"-1.6186653,0.9091537,-8.255138","-1.6297429,0.7370343,-8.200448","-1.494041,0.73901606,-8.208384","-1.4929547,0.54257905,-8.2298765","-1.4925601,0.3551842,-8.261301","-1.7654448,0.73505247,-8.1925125","-1.8010565,0.5407759,-8.198763","-1.8363531,0.35612077,-8.226352","-1.5386294,0.2560836,-8.254271","-1.5437399,-0.12995875,-8.376053","-1.5285292,-0.46320677,-8.241129","-1.7122624,0.25281358,-8.240701","-1.654621,-0.1456002,-8.283478","-1.5939728,-0.43588972,-8.079655","-1.5964863,0.9357189,-8.220782","-1.6405824,0.9375912,-8.22214","-1.5597422,0.9084692,-8.135292","-1.6846818,0.91377354,-8.139137"
2,2023-04-04,16:19:38.131913,"-1.7297865,0.8667439,-7.369958","-1.6525016,0.7216497,-7.347677","-1.6374112,0.7299623,-7.483506","-1.6474302,0.5349059,-7.5142627","-1.6595088,0.34753442,-7.5440955","-1.6675918,0.71333724,-7.211849","-1.6569375,0.51591784,-7.2095323","-1.6559336,0.32580847,-7.2083626","-1.6492858,0.24207789,-7.464742","-1.7530462,-0.14309251,-7.4647126","-1.7421588,-0.49741542,-7.456774","-1.6658074,0.23154199,-7.2910776","-1.722979,-0.16206062,-7.321588","-1.493957,-0.43274462,-7.3192716","-1.6993017,0.90238035,-7.386951","-1.7097238,0.9017137,-7.340586","-1.6040477,0.8976319,-7.4102664","-1.633577,0.8957429,-7.278898"
2,2023-04-04,16:19:38.198689,"-1.7663393,0.7575891,-6.8763385","-1.6533152,0.6448652,-6.912556","-1.758715,0.6427151,-7.000315","-1.764188,0.44462234,-7.013974","-1.7679931,0.25424242,-7.0288577","-1.547915,0.6470152,-6.8247976","-1.5334642,0.45069098,-6.851355","-1.5196724,0.26189345,-6.8767667","-1.7035494,0.15808755,-6.9768467","-1.738971,-0.21390617,-6.83726","-1.7720333,-0.5436828,-6.7112527","-1.5674965,0.16117746,-6.8672266","-1.6198815,-0.23359287,-6.8441877","-1.5254813,-0.5414047,-6.9927273","-1.7570595,0.79966927,-6.913232","-1.729247,0.800457,-6.874222","-1.691478,0.8152684,-7.0142536","-1.6126759,0.8175,-6.9037266"
1,2023-04-04,16:19:38.200683,"-1.5880945,1.2291603,-9.939808","-1.6280044,1.0388496,-9.925357","-1.4618177,1.0176284,-9.8444195","-1.4193256,0.7775124,-9.898515","-1.3799502,0.54576135,-9.947727","-1.7941912,1.0600709,-10.006296","-1.7943568,0.8168324,-10.063064","-1.7953038,0.5826005,-10.116124","-1.5381743,0.48441947,-10.02149","-1.5189245,0.11838329,-10.1824665","-1.5159265,-0.21766698,-10.299479","-1.7195175,0.5069251,-10.110602","-1.663229,0.12092531,-10.200615","-1.6329701,-0.2310375,-10.243474","-1.5613512,1.2499465,-9.886949","-1.636937,1.2646328,-9.922556","-1.5323068,1.2020297,-9.783093","-1.7464666,1.2436409,-9.8839855"
2,2023-04-04,16:19:38.263473,"-1.7290833,0.6063777,-6.4590693","-1.6662866,0.49788433,-6.5654073","-1.8135369,0.49226576,-6.5178733","-1.831749,0.2684433,-6.549219","-1.850825,0.054081798,-6.584113","-1.5190363,0.50350296,-6.6129417","-1.5286915,0.27938318,-6.6459246","-1.5387946,0.06430149,-6.680129","-1.7362381,0.009920239,-6.5551434","-1.6827697,-0.3464961,-6.388973","-1.6251428,-0.64489394,-6.209848","-1.5708315,0.01591599,-6.6113153","-1.6049054,-0.35662854,-6.4788237","-1.6854417,-0.6944972,-6.540519","-1.7499892,0.6499258,-6.489821","-1.7022539,0.6493727,-6.4857306","-1.783826,0.669557,-6.606739","-1.6485766,0.66798913,-6.5951476"
2,2023-04-04,16:19:38.330250,"-1.6201365,0.5583527,-6.200305","-1.6718273,0.45131993,-6.302182","-1.7226249,0.44543803,-6.15058","-1.7692412,0.22027624,-6.1603146","-1.8182392,0.004744172,-6.1710353","-1.6210297,0.45720184,-6.453785","-1.6451775,0.22895151,-6.470648","-1.6665878,0.0092532635,-6.486265","-1.6924815,-0.029722452,-6.2361374","-1.5815729,-0.37019533,-6.1347322","-1.4500475,-0.65660536,-6.034199","-1.640516,-0.02407527,-6.401766","-1.5864104,-0.38126945,-6.3123775","-1.6438856,-0.7045232,-6.2718773","-1.6563201,0.6025961,-6.2009","-1.626866,0.60118407,-6.237551","-1.77137,0.62318015,-6.2388096","-1.6879169,0.61917937,-6.342652"
2,2023-04-04,16:19:38.402010,"-1.5675373,0.54178417,-5.939161","-1.6694897,0.4409544,-5.9545207","-1.6163497,0.43330425,-5.7987547","-1.6626483,0.2077992,-5.780976","-1.70978,-0.008404553,-5.7629566","-1.7226295,0.44860446,-6.1102867","-1.7470565,0.21921474,-6.120076","-1.7644984,-0.0018142462,-6.1315727","-1.6356121,-0.03557992,-5.8985133","-1.5463092,-0.3855592,-5.8751144","-1.4488258,-0.69183874,-5.860889","-1.6949706,-0.028504312,-6.0598526","-1.6453856,-0.38632268,-6.0371537","-1.6388341,-0.7062841,-6.004072","-1.5913491,0.5879054,-5.915074","-1.5976188,0.58528763,-5.9609985","-1.6972442,0.61261404,-5.8590064","-1.7150081,0.60519695,-5.9891267"
2,2023-04-04,16:19:38.461810,"-1.6164109,0.53466,-5.753216","-1.6842151,0.44240928,-5.684248","-1.5463423,0.44039923,-5.5810895","-1.565145,0.21118778,-5.541188","-1.5840724,-0.0089351535,-5.5016804","-1.8220878,0.44441938,-5.787407","-1.8547816,0.21358454,-5.7760043","-1.866107,-0.010021687,-5.7916613","-1.5998834,-0.029752135,-5.6630864","-1.5794785,-0.38966358,-5.6955605","-1.5549506,-0.7082055,-5.733523","-1.7402766,-0.02849108,-5.7615666","-1.7169967,-0.38968378,-5.7593546","-1.6900961,-0.7102183,-5.7661257","-1.6183412,0.58272785,-5.721996","-1.654097,0.5778409,-5.751187","-1.6582913,0.61224705,-5.6103454","-1.7595997,0.5984007,-5.6930523"
2,2023-04-04,16:19:38.528587,"-1.6466113,0.54130584,-5.46573","-1.7398789,0.41785195,-5.4472733","-1.608595,0.41888204,-5.3254805","-1.6408306,0.1815089,-5.3026237","-1.5929146,-0.027433336,-5.389721","-1.8711629,0.41682208,-5.5690675","-1.8642571,0.18070012,-5.6149616","-1.8478043,-0.043519557,-5.6696754","-1.646181,-0.052987576,-5.417923","-1.7017874,-0.41448838,-5.4338346","-1.7458432,-0.7362823,-5.4539995","-1.7746677,-0.05481565,-5.532146","-1.7326527,-0.41771364,-5.508315","-1.6779386,-0.7384982,-5.506755","-1.6636193,0.58465034,-5.432727","-1.687945,0.58010685,-5.4723063","-1.7380252,0.59596276,-5.337831","-1.8069483,0.5830896,-5.4499736"
2,2023-04-04,16:19:38.595363,"-1.6860894,0.5002015,-5.2295938","-1.7826269,0.36885637,-5.271161","-1.6954395,0.36381966,-5.1094604","-1.7809792,0.13341385,-5.0989285","-1.6977358,-0.056468785,-5.21279","-1.8698144,0.37389338,-5.4328623","-1.8311771,0.16559893,-5.557904","-1.791562,-0.03342563,-5.6794324","-1.7173806,-0.1058656,-5.2230763","-1.8148501,-0.45808977,-5.271124","-1.896686,-0.77209383,-5.3164997","-1.800613,-0.10163373,-5.374171","-1.7695578,-0.46783537,-5.3458405","-1.7255297,-0.79211336,-5.3297186","-1.7161936,0.5413524,-5.20486","-1.7204787,0.5392877,-5.2519784","-1.8231276,0.5468267,-5.151743","-1.8352686,0.54097664,-5.2852454"
2,2023-04-04,16:19:38.665130,"-1.7086965,0.4526644,-4.942347","-1.7873206,0.3074252,-5.023641","-1.7579767,0.29565567,-4.842481","-1.9041256,0.095988035,-4.866678","-1.8851221,-0.13499057,-4.9253","-1.8166645,0.31919473,-5.2048","-1.7428569,0.14460146,-5.365679","-1.6507255,-0.010170519,-5.52286","-1.7639806,-0.16909724,-4.970783","-1.8840406,-0.50443214,-5.0739717","-1.9866223,-0.8037305,-5.16643","-1.7909651,-0.15769434,-5.1408644","-1.8003567,-0.52839917,-5.1396728","-1.8090241,-0.8579061,-5.138565","-1.7472156,0.49119955,-4.928972","-1.7336421,0.49114135,-4.9746704","-1.8641069,0.48938173,-4.918104","-1.825649,0.4892164,-5.0475817"
2,2023-04-04,16:19:38.728917,"-1.7706395,0.42504743,-4.6821876","-1.8222086,0.27273732,-4.79149","-1.8517755,0.25388473,-4.618365","-2.0031824,0.07665491,-4.700469","-2.0894544,-0.13203883,-4.7744403","-1.7926419,0.29159003,-4.964615","-1.6799513,0.10346413,-5.078567","-1.5394796,-0.058658957,-5.1808","-1.8361804,-0.20202696,-4.7577796","-1.9676788,-0.5232155,-4.8897786","-2.0821137,-0.80983984,-5.006789","-1.8054891,-0.18332702,-4.926094","-1.8345106,-0.5492536,-4.9820676","-1.8591031,-0.87464654,-5.031615","-1.813202,0.4606056,-4.6795","-1.7857902,0.4644436,-4.7182655","-1.9256382,0.4531246,-4.7060976","-1.8479718,0.4639989,-4.8159304"
2,2023-04-04,16:19:38.794697,"-1.8522273,0.41781217,-4.4558134","-1.881151,0.26174113,-4.5817437","-1.9627929,0.23776719,-4.4340687","-2.0847402,0.0587641,-4.552917","-2.19798,-0.11703116,-4.665638","-1.799509,0.28571513,-4.7294183","-1.7064017,0.058510542,-4.756755","-1.6047794,-0.1553455,-4.776036","-1.9379466,-0.21066213,-4.5910454","-2.0676742,-0.5423901,-4.748121","-2.1791642,-0.83957773,-4.885922","-1.8530934,-0.18684983,-4.7378473","-1.8838179,-0.5578571,-4.8516674","-1.9096851,-0.887995,-4.9520645","-1.8944929,0.45215183,-4.463428","-1.8575068,0.45832124,-4.4926195","-1.9938121,0.4443599,-4.520002","-1.8890187,0.4618401,-4.6027117"
2,2023-04-04,16:19:38.861474,"-1.9319047,0.41151118,-4.1975975","-1.9302336,0.25692126,-4.3438168","-2.0220559,0.23446304,-4.237902","-2.1193752,0.063180566,-4.3685055","-2.2239454,-0.089089036,-4.5009074","-1.8384115,0.27937955,-4.4497313","-1.809415,0.04499793,-4.440225","-1.7803748,-0.18017942,-4.430078","-2.0095587,-0.21009165,-4.398529","-2.1392672,-0.53537935,-4.572617","-2.2519379,-0.82657284,-4.725441","-1.8979908,-0.18448287,-4.522544","-2.0406713,-0.5163418,-4.6723933","-2.1665864,-0.8120209,-4.8049192","-1.9719652,0.4454335,-4.2135563","-1.9291418,0.45389825,-4.232324","-2.0540195,0.43961418,-4.293135","-1.9326867,0.46359733,-4.34631"
2,2023-04-04,16:19:38.928250,"-2.0067792,0.38242108,-3.9676833","-1.9633329,0.23105347,-4.119331","-2.0568805,0.21347061,-4.0405574","-2.124908,0.027953088,-4.1577277","-2.2018955,-0.13810307,-4.2813826","-1.8697851,0.2486364,-4.1981044","-1.8971344,0.022111118,-4.171425","-1.9267535,-0.19569832,-4.1496577","-2.0449784,-0.23584443,-4.189899","-2.1625586,-0.5661005,-4.36725","-2.265674,-0.8609145,-4.523473","-1.9173197,-0.21323091,-4.2944627","-2.1102238,-0.5078802,-4.4685807","-2.2812462,-0.7703345,-4.6229267","-2.0421298,0.4159559,-3.9924726","-1.9961644,0.425281,-3.9999182","-2.1018734,0.41105515,-4.0897846","-1.9716388,0.43747652,-4.110881"
2,2023-04-04,16:19:38.995027,"-2.052276,0.3249087,-3.7541194","-1.9754169,0.16576028,-3.8932362","-2.0681958,0.15476838,-3.8283644","-2.1297054,-0.04602194,-3.9092429","-2.1977262,-0.23107708,-3.9983978","-1.8826379,0.17675227,-3.9581082","-1.9424598,-0.038414955,-3.930434","-2.004028,-0.24479085,-3.9094777","-2.053629,-0.30467325,-3.940063","-2.1418788,-0.6331441,-4.1185894","-2.2187903,-0.9265854,-4.2753124","-1.9181384,-0.28963512,-4.0332217","-2.0771604,-0.61734426,-4.155171","-2.2182136,-0.90893024,-4.2631836","-2.0833976,0.35601458,-3.7869256","-2.0370238,0.36623493,-3.7868593","-2.125196,0.34411058,-3.8934734","-1.9938031,0.373068,-3.8932853"
2,2023-04-04,16:19:39.064794,"-2.0740004,0.2518025,-3.5407767","-1.9832299,0.096688926,-3.668737","-2.074717,0.0859794,-3.6080172","-2.133066,-0.11727905,-3.6732247","-2.195232,-0.30801433,-3.744158","-1.8917423,0.10739863,-3.7294567","-1.9007753,-0.11370671,-3.7282681","-1.9124665,-0.32614207,-3.7315304","-2.03975,-0.37408215,-3.6891415","-2.1327293,-0.69996923,-3.8201807","-2.214147,-0.9906613,-3.9349866","-1.9046767,-0.36016208,-3.778747","-2.0507197,-0.69184923,-3.8047073","-2.180293,-0.9868156,-3.8274386","-2.1046844,0.28125846,-3.5756512","-2.0587802,0.29300055,-3.57389","-2.1415684,0.26622698,-3.6841931","-2.0115068,0.2994962,-3.679202"
